team,year,playersaves,teamsaves,save_pct
ANA,2015,3,46,0.07
ARI,2011,4,58,0.07
CLE,1999,3,46,0.07
CIN,2014,3,44,0.07
CIN,2009,3,41,0.07
CIN,2010,3,43,0.07
CIN,1988,3,43,0.07
CHN,2006,2,29,0.07
CHN,2010,3,40,0.07
CHN,2011,3,40,0.07
CHN,2001,3,41,0.07
CHN,1998,4,55,0.07
MON,1999,3,44,0.07
NYA,2004,4,59,0.07
NYA,2005,3,46,0.07
NYA,1990,3,41,0.07
MIL,2004,3,42,0.07
MIL,1999,3,40,0.07
LAN,2003,4,58,0.07
HOU,2006,3,42,0.07
HOU,1992,3,45,0.07
KCA,1992,3,44,0.07
KCA,2008,3,44,0.07
COL,2002,3,43,0.07
FLO,2011,3,40,0.07
FLO,1996,3,41,0.07
DET,2000,3,44,0.07
SDN,2002,3,40,0.07
SDN,1999,3,43,0.07
PIT,2018,3,40,0.07
SDN,1977,3,44,0.07
PIT,2009,2,28,0.07
PIT,2015,4,54,0.07
PHI,2005,3,40,0.07
NYN,2006,3,43,0.07
NYN,2016,4,55,0.07
SEA,2018,4,60,0.07
SDN,2014,3,41,0.07
SDN,2004,3,44,0.07
SDN,2005,3,45,0.07
SDN,2007,3,45,0.07
SDN,2009,3,45,0.07
SFN,2009,3,41,0.07
SFN,2013,3,41,0.07
SFN,2015,3,41,0.07
SLN,2002,3,42,0.07
SLN,2014,4,55,0.07
TBA,1999,3,45,0.07
TBA,2005,3,43,0.07
TBA,2007,2,28,0.07
TEX,1999,3,47,0.06
SLN,1992,3,47,0.06
SFN,2001,3,47,0.06
SFN,1995,2,34,0.06
SFN,1993,3,50,0.06
SDN,2006,3,50,0.06
SDN,2018,2,36,0.06
OAK,1991,3,49,0.06
PHI,2002,3,47,0.06
PHI,1997,2,35,0.06
SDN,1989,3,52,0.06
WAS,2013,3,47,0.06
WAS,2011,3,49,0.06
DET,2016,3,47,0.06
DET,2019,2,31,0.06
DET,2011,3,52,0.06
FLO,1993,3,48,0.06
FLO,2000,3,48,0.06
COL,2004,2,36,0.06
COL,2013,2,35,0.06
CLE,2023,3,47,0.06
KCA,1993,3,48,0.06
KCA,1983,3,49,0.06
MIA,2015,2,35,0.06
MIA,2013,2,36,0.06
MIL,1971,2,32,0.06
MIL,2002,2,32,0.06
MIN,2002,3,47,0.06
MIN,1979,2,33,0.06
NYA,1978,2,35,0.06
NYA,2011,3,47,0.06
CAL,1991,3,50,0.06
CIN,2007,2,34,0.06
CLE,2000,2,34,0.06
CLE,2007,3,49,0.06
ARI,2007,3,51,0.06
ANA,2006,3,50,0.06
ATL,2017,2,36,0.06
ATL,2011,3,52,0.06
ATL,2004,3,48,0.06
ATL,2002,3,57,0.05
ARI,2002,2,40,0.05
BAL,2012,3,55,0.05
CHA,2007,2,42,0.05
CHN,1993,3,56,0.05
NYA,2001,3,57,0.05
MIN,2007,2,38,0.05
MIN,2005,2,44,0.05
MIL,2015,2,40,0.05
KCA,2010,2,44,0.05
CLE,2011,2,38,0.05
COL,2007,2,39,0.05
FLO,2005,2,42,0.05
PHI,1996,2,42,0.05
PHI,2014,2,40,0.05
SDN,2011,2,44,0.05
SDN,2015,2,41,0.05
SEA,2007,2,43,0.05
SLN,1995,2,38,0.05
TEX,1979,2,42,0.05
TBA,2012,2,50,0.04
SDN,2010,2,49,0.04
PHI,1993,2,46,0.04
PIT,2002,2,47,0.04
HOU,2005,2,45,0.04
MIL,2014,2,45,0.04
MIL,2011,2,47,0.04
MIN,2009,2,48,0.04
ATL,1993,2,46,0.04
ANA,2008,2,66,0.03
CHA,2013,1,40,0.03
CIN,2008,1,34,0.03
SDN,2008,1,30,0.03
SFN,1996,1,35,0.03
SFN,2002,1,43,0.02
SFN,2008,1,41,0.02
SLN,2012,1,42,0.02
LAN,2016,1,47,0.02
