playername,winningpercentage,WAR
Ty Cobb,0.516877637130802,134.268571974142
Tris Speaker,0.542541436464088,123.615611961728
Rogers Hornsby,0.459502382212811,117.790481473981
Eddie Collins,0.530815109343936,114.631058325809
Ted Williams,0.43,110.753726441284
Mel Ott,0.464125560538117,104.897734493272
Frank Robinson,0.477578475336323,96.4542604108272
Eddie Mathews,0.473015873015873,90.1122870083704
Joe Morgan,0.526408450704225,89.0357829858148
Pete Rose,0.525641025641026,77.97338702
Nap Lajoie,0.528776978417266,75.7522526786173
Frankie Frisch,0.505093080435546,66.5372718266235
Paul Molitor,0.470679012345679,63.5439069850309
Ryne Sandberg,0.428057553956835,60.5908653111049
Joe Cronin,0.534135125574814,60.5882172901358
Lou Boudreau,0.47887323943662,58.4527784986975
Alan Trammell,0.381526104417671,58.3609113744012
Buddy Bell,0.417752442996743,58.0978615676358
Ken Boyer,0.463687150837989,55.9250476495803
Joe Gordon,0.486638537271449,55.0122213299876
Max Carey,0.464373464373464,54.7062521302407
Bill Terry,0.545062061521856,53.855012864537
Yogi Berra,0.519796954314721,53.4667634474321
Joe Torre,0.539678950938277,53.459590752784
Willie Randolph,0.545936395759717,52.6227143628704
Robin Ventura,0.466417910447761,51.7804237941975
Billy Herman,0.405405405405405,51.6083062659136
George Sisler,0.458755426917511,51.2877799920555
Stan Hack,0.42358803986711,48.9507735389383
Joe Tinker,0.483213429256595,48.6159647698272
Bobby Wallace,0.257627118644068,47.4036900047099
Bob Elliott,0.371584699453552,45.604258944216
Jim Fregosi,0.483975847654436,43.1625049924568
Dave Bancroft,0.393404004711425,42.7704596132901
Walter Johnson,0.535885167464115,42.1765322793765
Gil Hodges,0.474587458745875,41.6885715529753
Gabby Hartnett,0.536480686695279,41.4015623264383
Johnny Evers,0.468965517241379,40.7051904375926
Mickey Cochrane,0.571052631578947,40.7017004754506
Art Fletcher,0.385201305767138,40.3546430669938
Roger Peckinpaugh,0.490455212922173,39.9288078665988
Fred Clarke,0.57710535909588,39.3878694434938
Don Mattingly,0.483243243243243,39.0557990599198
Matt Williams,0.548780487804878,37.9956312849136
Ben Chapman,0.404287901990812,37.1455498729444
Al Dark,0.506918819188192,36.8131111716728
Pie Traynor,0.531443755535872,36.4727943922531
Felipe Alou,0.502921129503408,36.0300242127654
Donie Bush,0.472972972972973,35.8532949801543
Clyde Milan,0.44,35.7361533199877
Red Schoendienst,0.520114942528736,35.1389511735123
Frank Howard,0.411504424778761,34.8524183178395
Eddie Stanky,0.512030798845043,34.6587788466543
George Davis,0.343558282208589,34.2859657805432
Dusty Baker,0.538424242424242,34.0275979450617
Davey Lopes,0.428571428571429,34.0179969582531
Mickey Vernon,0.360975609756098,33.6995979948704
Tommy Holmes,0.466666666666667,33.2976670657778
Frank Chance,0.564995357474466,33.0872958678704
Miller Huggins,0.543878656554713,32.8520499488765
Bill Bradley,0.49618320610687,32.1955171934136
Harry Davis,0.395480225988701,32.1295344227778
Cecil Cooper,0.505813953488372,31.5320840484074
Bill Dahlen,0.391304347826087,31.4216977511728
Fielder Jones,0.52202380952381,31.0854117151358
Johnny Pesky,0.446629213483146,30.9960463052346
Christy Mathewson,0.464114832535885,30.0235463661605
Gavvy Cravath,0.39171974522293,29.9306880433889
Kirk Gibson,0.484353741496599,29.7588485675864
Eddie Joost,0.337142857142857,29.1299131288704
Stuffy McInnis,0.32843137254902,28.7669315843148
Phil Cavarretta,0.43064182194617,28.6016336587037
Jimmy Dykes,0.471175799086758,28.3363461247593
Roger Bresnahan,0.418738049713193,27.8773471404506
Marty McManus,0.391975308641975,27.8159530125247
Marty Marion,0.476359338061466,27.7772025538889
Mike Hargrove,0.504384133611691,27.102052802142
Fred Tenney,0.32470892626132,27.0860448153889
Joe Adcock,0.477777777777778,26.7052634751914
Joe Kuhel,0.347945205479452,26.6008276168333
Phil Garner,0.483365949119374,26.4004188943457
Don Baylor,0.47622641509434,25.9267774153765
Jimmy Collins,0.553949903660886,25.7652412832963
Red Rolfe,0.513975155279503,25.7177344975185
Hal McRae,0.45756880733945,25.6636231611358
Bill Russell,0.534534534534535,25.4898283367716
Pinky Higgins,0.500385505011565,25.0178792380556
Harvey Kuenn,0.572413793103448,24.8983199081667
Davey Johnson,0.56020942408377,24.4529524680926
Bob Boone,0.458912768647282,24.1580450513272
Ray Schalk,0.444117647058824,24.1463961687901
Ossie Bluege,0.485138004246285,23.7611690555802
Del Crandall,0.433221099887767,23.5562128284691
Hank Bauer,0.531201248049922,22.507298596463
Burt Shotton,0.465412004069176,22.216828976179
Mike Scioscia,0.53245501285347,21.3987525849074
Doug Rader,0.481987577639752,21.0437828998025
Solly Hemus,0.5,20.7590354580123
