playername,year,realERA,adjustedERA,nextERA
A.J. Burnett,2001,4.05,3.75,3.12
A.J. Burnett,2004,3.74,3.54,3.44
A.J. Burnett,2005,3.44,3.27,3.98
A.J. Burnett,2006,3.98,3.76,3.75
A.J. Burnett,2007,3.75,3.46,4.00
A.J. Burnett,2008,4.00,3.75,4.04
A.J. Burnett,2009,4.04,3.74,5.26
A.J. Burnett,2010,5.26,4.98,5.16
A.J. Burnett,2011,5.16,4.87,3.51
A.J. Burnett,2012,3.51,3.02,3.30
A.J. Burnett,2013,3.30,3.11,4.59
A.J. Burnett,2014,4.59,4.40,3.18
Aaron Cook,2006,4.23,4.07,4.12
Aaron Cook,2007,4.12,3.92,3.96
Aaron Cook,2008,3.96,3.76,4.16
Aaron Cook,2009,4.16,3.82,5.08
Aaron Harang,2004,4.86,4.59,3.83
Aaron Harang,2005,3.83,3.66,3.78
Aaron Harang,2006,3.78,3.66,3.73
Aaron Harang,2007,3.73,3.67,4.89
Aaron Harang,2008,4.89,4.58,4.21
Aaron Harang,2009,4.21,3.87,5.22
Aaron Harang,2010,5.22,4.73,3.64
Aaron Harang,2011,3.64,3.35,3.61
Aaron Harang,2012,3.61,3.35,5.40
Aaron Harang,2013,5.40,5.03,3.57
Aaron Harang,2014,3.57,3.25,4.86
Aaron Nola,2016,4.78,4.33,3.54
Aaron Nola,2017,3.54,3.38,2.37
Aaron Nola,2018,2.37,2.25,3.87
Aaron Nola,2021,4.63,4.39,3.25
Aaron Nola,2022,3.25,2.96,4.46
Aaron Sanchez,2018,4.89,4.76,5.89
Aaron Sele,1993,2.74,2.50,3.83
Aaron Sele,1996,5.32,5.00,5.38
Aaron Sele,1997,5.38,5.07,4.23
Aaron Sele,1998,4.23,3.97,4.79
Aaron Sele,1999,4.79,4.44,4.51
Aaron Sele,2000,4.51,4.23,3.63
Aaron Sele,2001,3.63,3.50,4.89
Aaron Sele,2002,4.89,4.38,5.77
Aaron Sele,2003,5.77,5.22,5.03
Aaron Sele,2004,5.03,4.80,5.66
Ad Brennan,1912,3.64,3.31,2.57
Adam Conley,2016,3.85,3.67,6.17
Adam Eaton,2000,4.13,3.82,4.32
Adam Eaton,2003,4.08,3.91,4.61
Adam Eaton,2004,4.61,4.37,4.05
Adam Eaton,2007,6.29,6.09,5.71
Adam Wainwright,2007,3.70,3.39,3.20
Adam Wainwright,2008,3.20,2.88,2.63
Adam Wainwright,2009,2.63,2.45,2.42
Adam Wainwright,2012,3.94,3.63,2.94
Adam Wainwright,2013,2.94,2.63,2.38
Adam Wainwright,2016,4.62,4.35,5.12
Adam Wainwright,2021,3.05,2.83,3.71
Adam Wainwright,2022,3.71,3.50,7.40
Addie Joss,1902,2.61,2.37,2.20
Addie Joss,1903,2.20,1.97,1.62
Adrian Houser,2021,3.33,3.02,4.83
Adrian Houser,2022,4.83,4.48,4.23
Al Benton,1941,3.12,2.84,2.97
Al Benton,1945,2.04,1.95,3.82
Al Brazle,1946,3.33,2.98,3.13
Al Brazle,1947,3.13,2.93,3.68
Al Brazle,1948,3.68,3.40,3.29
Al Demaree,1913,1.90,1.73,3.04
Al Demaree,1914,3.04,2.87,2.92
Al Demaree,1915,2.92,2.68,2.54
Al Demaree,1916,2.54,2.43,2.75
Al Demaree,1917,2.75,2.58,2.23
Al Downing,1963,2.39,2.19,3.47
Al Downing,1964,3.47,3.47,3.46
Al Downing,1965,3.46,3.21,3.56
Al Downing,1966,3.56,3.40,2.80
Al Downing,1970,3.60,3.33,2.74
Al Downing,1971,2.74,2.61,3.02
Al Downing,1972,3.02,2.76,3.38
Al Fitzmorris,1974,2.84,2.65,3.57
Al Fitzmorris,1975,3.57,3.47,3.06
Al Fitzmorris,1976,3.06,2.96,5.19
Al Gerheauser,1943,3.65,3.58,4.56
Al Gettel,1947,3.33,3.12,4.38
Al Hollingsworth,1935,3.39,3.02,4.13
Al Hollingsworth,1936,4.13,3.94,3.91
Al Hollingsworth,1937,3.91,3.69,4.27
Al Hollingsworth,1942,3.10,2.72,4.73
Al Jackson,1962,4.45,4.14,3.99
Al Jackson,1963,3.99,3.84,4.35
Al Jackson,1964,4.35,4.22,4.45
Al Jackson,1965,4.45,4.22,2.61
Al Javery,1941,4.57,4.22,3.07
Al Javery,1942,3.07,3.00,3.22
Al Javery,1943,3.22,3.10,3.62
Al Leiter,1994,5.08,4.76,3.64
Al Leiter,1995,3.64,3.34,2.93
Al Leiter,1996,2.93,2.79,4.34
Al Leiter,1997,4.34,4.03,2.47
Al Leiter,1998,2.47,2.36,4.41
Al Leiter,1999,4.41,4.25,3.20
Al Leiter,2000,3.20,3.07,3.31
Al Leiter,2001,3.31,2.98,3.48
Al Leiter,2002,3.48,3.29,3.99
Al Leiter,2003,3.99,3.63,3.21
Al Leiter,2004,3.21,2.97,6.21
Al Mamaux,1915,2.10,1.97,2.50
Al Mamaux,1919,2.86,2.47,3.25
Al Milnar,1939,3.96,3.81,3.39
Al Milnar,1940,3.39,3.23,4.22
Al Milnar,1941,4.22,4.06,4.37
Al Nipper,1984,3.98,3.67,4.06
Al Nipper,1985,4.06,3.77,5.38
Al Nipper,1986,5.38,5.15,5.43
Al Orth,1901,2.26,2.11,3.98
Al Orth,1902,3.98,3.81,4.52
Al Orth,1903,4.52,4.39,3.36
Al Schulz,1913,3.81,3.59,3.78
Al Schulz,1914,3.78,3.64,2.93
Al Schulz,1915,2.93,2.80,3.70
Al Smith,1940,3.58,3.32,3.76
Al Smith,1941,3.76,3.52,4.21
Al Smith,1942,4.21,4.01,2.55
Al Smith,1943,2.55,2.38,3.40
Al Smith,1944,3.40,3.18,4.13
Alan Benes,1996,4.88,4.63,2.89
Alan Foster,1970,4.26,4.01,4.41
Alan Foster,1973,3.07,2.98,3.87
Albert Williams,1981,4.19,3.97,4.22
Albert Williams,1982,4.22,4.01,3.89
Albie Lopez,2000,3.88,3.50,4.81
Alejandro Pena,1983,2.84,2.53,2.48
Alek Manoah,2021,3.22,2.82,2.24
Alex Cobb,2012,4.03,3.57,2.76
Alex Cobb,2013,2.76,2.45,2.87
Alex Cobb,2017,3.66,3.32,4.90
Alex Cobb,2022,3.73,3.68,3.87
Alex Ferguson,1922,4.29,4.19,4.21
Alex Ferguson,1923,4.21,3.77,3.55
Alex Ferguson,1927,4.84,4.66,6.81
Alex Fernandez,1991,4.57,3.95,4.27
Alex Fernandez,1992,4.27,4.11,3.13
Alex Fernandez,1993,3.13,2.98,3.86
Alex Fernandez,1994,3.86,3.62,3.80
Alex Fernandez,1995,3.80,3.50,3.45
Alex Fernandez,1996,3.45,3.25,3.59
Alex Kellner,1949,3.64,3.54,5.33
Alex Kellner,1950,5.33,5.04,4.59
Alex Kellner,1951,4.59,4.41,4.38
Alex Kellner,1952,4.38,4.11,3.93
Alex Kellner,1953,3.93,3.71,5.39
Alex Kellner,1954,5.39,5.09,4.12
Alex Wood,2014,2.59,2.26,3.84
Alex Wood,2017,2.82,2.47,3.65
Alex Wood,2021,3.83,3.47,5.10
Alfredo Simon,2014,3.44,3.26,5.05
Allan Anderson,1988,2.45,2.31,3.80
Allan Anderson,1989,3.80,3.48,4.53
Allan Anderson,1990,4.53,4.31,4.80
Allen Russell,1918,3.28,3.04,3.12
Allen Sothoron,1917,2.67,2.48,1.95
Allen Sothoron,1918,1.95,1.81,2.23
Allen Sothoron,1919,2.23,2.20,4.36
Allen Sothoron,1920,4.36,4.21,4.35
Allen Sothoron,1924,3.59,3.36,3.99
Allen Watson,1994,5.52,5.04,5.45
Allen Watson,1995,5.45,5.01,4.61
Allen Watson,1996,4.61,4.32,4.79
Allie Reynolds,1943,2.71,2.49,3.53
Allie Reynolds,1944,3.53,3.33,3.09
Allie Reynolds,1945,3.09,2.97,3.91
Allie Reynolds,1946,3.91,3.74,3.22
Allie Reynolds,1947,3.22,2.98,3.99
Allie Reynolds,1948,3.99,3.88,4.31
Allie Reynolds,1949,4.31,4.09,3.42
Allie Reynolds,1950,3.42,3.19,2.74
Allie Reynolds,1951,2.74,2.48,2.14
Andrew Cashner,2013,3.04,2.75,2.55
Andrew Cashner,2014,2.55,2.21,4.34
Andrew Cashner,2015,4.34,4.12,5.26
Andrew Cashner,2016,5.26,4.86,3.40
Andrew Cashner,2017,3.40,3.22,5.29
Andrew Cashner,2018,5.29,4.76,4.83
Andy Ashby,1993,6.53,6.03,3.40
Andy Ashby,1994,3.40,3.15,2.94
Andy Ashby,1995,2.94,2.58,3.23
Andy Ashby,1996,3.23,3.03,4.13
Andy Ashby,1997,4.13,3.95,3.34
Andy Ashby,1998,3.34,3.07,3.80
Andy Ashby,1999,3.80,3.56,4.92
Andy Benes,1990,3.50,3.14,3.03
Andy Benes,1991,3.03,2.79,3.35
Andy Benes,1992,3.35,3.14,3.78
Andy Benes,1993,3.78,3.53,3.86
Andy Benes,1994,3.86,3.59,4.76
Andy Benes,1995,4.76,4.44,3.77
Andy Benes,1996,3.77,3.53,3.10
Andy Benes,1997,3.10,2.83,3.97
Andy Benes,1998,3.97,3.71,4.81
Andy Benes,1999,4.81,4.52,4.64
Andy Hassler,1974,2.62,2.54,5.88
Andy Hassler,1975,5.88,5.26,3.56
Andy Hassler,1976,3.56,3.27,4.28
Andy Hawkins,1983,3.01,2.80,5.25
Andy Hawkins,1984,5.25,4.89,3.15
Andy Hawkins,1985,3.15,3.02,4.37
Andy Hawkins,1986,4.37,4.05,5.20
Andy Hawkins,1987,5.20,4.79,3.35
Andy Hawkins,1988,3.35,3.09,4.80
Andy Hawkins,1989,4.80,4.46,5.44
Andy Messersmith,1969,2.62,2.47,3.31
Andy Messersmith,1970,3.31,3.15,2.99
Andy Messersmith,1971,2.99,2.81,2.96
Andy Messersmith,1972,2.96,2.52,2.70
Andy Messersmith,1973,2.70,2.57,2.59
Andy Messersmith,1974,2.59,2.46,2.31
Andy Messersmith,1975,2.31,2.14,3.07
Andy Messersmith,1976,3.07,2.79,4.40
Andy Pettitte,1995,4.13,3.82,3.92
Andy Pettitte,1996,3.92,3.61,2.88
Andy Pettitte,1997,2.88,2.69,4.30
Andy Pettitte,1998,4.30,4.02,4.70
Andy Pettitte,1999,4.70,4.48,4.35
Andy Pettitte,2000,4.35,3.98,3.99
Andy Pettitte,2001,3.99,3.99,3.27
Andy Pettitte,2002,3.27,2.95,4.02
Andy Pettitte,2005,2.39,2.15,4.18
Andy Pettitte,2006,4.18,3.94,4.09
Andy Pettitte,2007,4.09,3.83,4.54
Andy Pettitte,2008,4.54,4.26,4.16
Andy Pettitte,2009,4.16,3.97,3.28
Andy Sonnanstine,2007,5.85,5.53,4.38
Anibal Sanchez,2010,3.55,3.30,3.67
Anibal Sanchez,2011,3.67,3.47,3.86
Anibal Sanchez,2012,3.86,3.60,2.57
Anibal Sanchez,2013,2.57,2.36,3.46
Anibal Sanchez,2014,3.46,3.09,4.99
Anibal Sanchez,2015,4.99,4.57,6.04
Anibal Sanchez,2018,2.90,2.71,3.85
Anthony DeSclafani,2015,4.05,3.81,3.28
Anthony DeSclafani,2018,4.93,4.59,3.89
Ariel Prieto,1996,4.15,3.77,5.04
Armando Galarraga,2008,3.59,3.41,5.36
Armando Galarraga,2009,5.36,5.06,4.54
Armando Reynoso,1999,4.30,4.02,5.20
Arnie Portocarrero,1954,4.01,3.93,4.73
Art Ditmar,1955,5.46,5.09,4.55
Art Ditmar,1959,2.74,2.42,2.97
Art Fowler,1954,3.70,3.57,4.15
Art Fowler,1955,4.15,4.00,4.47
Art Fromme,1912,2.84,2.66,4.58
Art Houtteman,1948,5.01,4.79,3.76
Art Houtteman,1949,3.76,3.60,3.61
Art Houtteman,1952,4.38,4.18,5.07
Art Houtteman,1953,5.07,4.73,3.33
Art Mahaffey,1961,4.17,3.96,3.90
Art Mahaffey,1962,3.90,3.71,4.02
Art Mahaffey,1963,4.02,3.71,4.61
Art Nehf,1917,2.16,1.89,2.70
Art Nehf,1918,2.70,2.57,2.46
Art Nehf,1919,2.46,2.11,2.97
Art Nehf,1920,2.97,2.83,3.43
Art Nehf,1921,3.43,3.25,3.36
Art Nehf,1922,3.36,3.19,4.57
Art Nehf,1923,4.57,4.24,3.92
Art Nehf,1924,3.92,3.69,4.16
Atlee Hammaker,1982,4.03,3.77,2.25
Atley Donald,1941,3.61,3.45,3.16
Babe Adams,1911,1.59,1.33,2.76
Babe Adams,1912,2.76,2.54,1.98
Babe Adams,1913,1.98,1.90,2.45
Babe Adams,1914,2.45,2.29,2.79
Babe Adams,1919,2.08,1.95,2.21
Babe Adams,1920,2.21,2.12,3.01
Babe Adams,1921,3.01,2.85,3.64
Babe Adams,1922,3.64,3.53,4.42
Babe Ruth,1915,2.61,2.48,1.78
Babe Ruth,1916,1.78,1.70,2.03
Babe Ruth,1917,2.03,2.03,2.16
Babe Ruth,1918,2.16,1.86,3.29
Balor Moore,1972,3.47,3.16,4.54
Barney Wolfe,1903,2.95,2.73,2.95
