playername,year,realERA,adjustedERA,nextERA
Barry Latman,1959,4.03,3.84,4.50
Barry Latman,1960,4.50,4.21,4.46
Barry Latman,1961,4.46,4.04,4.39
Barry Latman,1962,4.39,3.98,5.24
Barry Moore,1967,3.79,3.51,3.29
Barry Moore,1968,3.29,3.21,4.21
Barry Moore,1969,4.21,3.84,5.35
Barry Zito,2001,3.49,3.26,2.75
Barry Zito,2002,2.75,2.51,3.30
Barry Zito,2003,3.30,3.10,4.48
Barry Zito,2004,4.48,4.18,3.86
Barry Zito,2005,3.86,3.60,3.83
Barry Zito,2006,3.83,3.56,4.55
Barry Zito,2007,4.55,4.32,5.15
Barry Zito,2008,5.15,4.83,4.03
Barry Zito,2009,4.03,3.69,4.13
Barry Zito,2012,4.15,3.83,5.55
Bartolo Colon,1998,3.71,3.41,3.95
Bartolo Colon,1999,3.95,3.74,3.88
Bartolo Colon,2000,3.88,3.66,4.09
Bartolo Colon,2001,4.09,3.91,2.93
Bartolo Colon,2002,2.93,2.76,3.87
Bartolo Colon,2003,3.87,3.58,5.01
Bartolo Colon,2004,5.01,4.75,3.48
Bartolo Colon,2011,4.00,3.84,3.43
Bartolo Colon,2012,3.43,3.06,2.65
Bartolo Colon,2013,2.65,2.45,4.09
Bartolo Colon,2014,4.09,3.79,4.20
Bartolo Colon,2015,4.20,3.97,3.45
Bartolo Colon,2016,3.45,3.16,6.48
Bartolo Colon,2017,6.48,6.18,5.68
Ben Cantwell,1929,4.69,4.46,4.77
Ben Cantwell,1930,4.77,4.43,3.78
Ben Cantwell,1933,2.78,2.55,4.74
Ben Cantwell,1934,4.74,4.48,4.01
Ben McDonald,1990,2.56,2.22,4.84
Ben McDonald,1991,4.84,4.45,4.24
Ben McDonald,1992,4.24,3.99,3.39
Ben McDonald,1993,3.39,3.09,4.06
Ben McDonald,1996,3.90,3.63,4.06
Ben Sheets,2001,4.76,4.33,4.15
Ben Sheets,2002,4.15,3.98,4.45
Ben Sheets,2003,4.45,4.21,2.70
Ben Sheets,2004,2.70,2.53,3.33
Ben Sheets,2005,3.33,2.87,3.82
Ben Sheets,2006,3.82,3.30,3.82
Ben Sheets,2007,3.82,3.58,3.09
Bennie Daniels,1961,3.40,3.21,5.22
Bennie Daniels,1962,5.22,5.08,4.38
Bennie Daniels,1963,4.38,4.20,3.95
Benny Frey,1930,4.60,4.28,5.14
Bernie Boland,1917,2.71,2.60,2.58
Bernie Boland,1918,2.58,2.37,3.20
Bert Blyleven,1970,3.08,2.91,2.81
Bert Blyleven,1971,2.81,2.67,2.70
Bert Blyleven,1972,2.70,2.55,2.52
Bert Blyleven,1973,2.52,2.39,2.66
Bert Blyleven,1974,2.66,2.57,3.00
Bert Blyleven,1975,3.00,2.86,2.87
Bert Blyleven,1976,2.87,2.74,2.72
Bert Blyleven,1977,2.72,2.57,3.03
Bert Blyleven,1978,3.03,2.82,3.60
Bert Blyleven,1979,3.60,3.38,3.77
Bert Blyleven,1980,3.77,3.46,2.88
Bert Blyleven,1983,3.91,3.57,2.90
Bert Blyleven,1984,2.90,2.76,3.16
Bert Blyleven,1985,3.16,3.04,4.01
Bert Blyleven,1986,4.01,3.77,4.01
Bert Blyleven,1987,4.01,3.89,5.43
Bert Blyleven,1988,5.43,5.16,2.73
Bert Blyleven,1989,2.73,2.50,5.24
Bert Gallia,1915,2.29,2.01,3.01
Bert Gallia,1916,3.01,2.82,2.88
Bert Gallia,1917,2.88,2.76,3.58
Bert Gallia,1918,3.58,3.20,3.81
Bert Humphries,1913,2.96,2.76,2.38
Bert Humphries,1914,2.38,2.04,2.54
Bert Husting,1901,4.22,4.04,3.85
Bill Bailey,1914,3.37,3.26,4.46
Bill Bernhard,1901,4.40,4.12,2.20
Bill Bernhard,1902,2.20,2.06,2.09
Bill Bernhard,1903,2.09,1.62,2.15
Bill Bevens,1945,3.52,3.28,2.20
Bill Bevens,1946,2.20,2.05,4.00
Bill Bonham,1974,3.92,3.73,4.69
Bill Bonham,1975,4.69,4.41,4.27
Bill Bonham,1976,4.27,4.04,4.36
Bill Bonham,1977,4.36,4.09,3.53
Bill Bonham,1978,3.53,3.28,3.79
Bill Butler,1969,4.13,3.96,3.77
Bill Carrick,1901,3.63,3.38,4.80
Bill Dietrich,1934,4.12,3.98,6.50
Bill Dietrich,1939,5.06,4.77,3.75
Bill Dietrich,1942,5.25,5.08,2.84
Bill Dietrich,1943,2.84,2.65,3.66
Bill Dietrich,1944,3.66,3.56,4.21
Bill Dinneen,1901,2.82,2.70,2.93
Bill Dinneen,1902,2.93,2.87,2.17
Bill Dinneen,1903,2.17,2.09,2.20
Bill Doak,1914,1.84,1.65,2.64
Bill Doak,1915,2.64,2.52,2.75
Bill Doak,1916,2.75,2.57,3.25
Bill Doak,1917,3.25,3.07,1.98
Bill Doak,1918,1.98,1.86,3.23
Bill Doak,1919,3.23,3.14,2.79
Bill Doak,1920,2.79,2.66,2.57
Bill Doak,1921,2.57,2.57,5.23
Bill Doak,1922,5.23,4.95,2.90
Bill Doak,1923,2.90,2.69,3.19
Bill Donovan,1901,2.77,2.64,2.79
Bill Donovan,1902,2.79,2.55,2.33
Bill Donovan,1903,2.33,2.12,2.46
Bill Duggleby,1901,2.58,2.26,3.31
Bill Gogolewski,1971,2.78,2.36,4.74
Bill Greif,1972,5.60,5.28,3.31
Bill Greif,1973,3.31,3.17,4.75
Bill Gullickson,1980,2.77,2.58,2.80
Bill Gullickson,1981,2.80,2.72,3.57
Bill Gullickson,1982,3.57,3.41,3.75
Bill Gullickson,1983,3.75,3.56,3.61
Bill Gullickson,1984,3.61,3.39,3.52
Bill Gullickson,1985,3.52,3.18,3.38
Bill Gullickson,1986,3.38,3.22,4.86
Bill Gullickson,1990,3.82,3.61,3.90
Bill Gullickson,1991,3.90,3.82,4.34
Bill Gullickson,1992,4.34,4.30,5.37
Bill Gullickson,1993,5.37,5.19,5.98
Bill Hallahan,1930,4.51,4.29,3.47
Bill Hallahan,1931,3.47,3.31,3.12
Bill Hallahan,1932,3.12,2.98,3.24
Bill Hallahan,1933,3.24,3.00,4.24
Bill Hallahan,1934,4.24,4.03,3.42
Bill Hallahan,1935,3.42,3.24,4.86
Bill Hands,1968,2.70,2.52,2.49
Bill Hands,1969,2.49,2.37,3.72
Bill Hands,1970,3.72,3.53,3.43
Bill Hands,1971,3.43,3.29,3.02
Bill Hubbell,1920,4.06,3.88,4.61
Bill Hubbell,1921,4.61,4.53,5.41
Bill James,1913,3.72,3.31,2.30
Bill James,1914,2.30,2.24,3.09
Bill James,1915,3.09,2.98,3.57
Bill James,1916,3.57,3.29,2.54
Bill James,1917,2.54,2.44,4.05
Bill James,1918,4.05,3.75,3.13
Bill Krueger,1983,3.72,3.34,4.83
Bill Krueger,1984,4.83,4.50,4.74
Bill Krueger,1991,3.50,3.07,4.51
Bill Laskey,1982,3.15,2.98,4.19
Bill Laskey,1983,4.19,3.99,4.35
Bill Laskey,1984,4.35,4.10,4.86
Bill Lee,1934,3.38,3.18,3.04
Bill Lee,1935,3.04,2.89,3.12
Bill Lee,1936,3.12,3.02,3.61
Bill Lee,1937,3.61,3.43,2.67
Bill Lee,1938,2.67,2.49,3.38
Bill Lee,1939,3.38,3.25,5.19
Bill Lee,1940,5.19,5.00,3.64
Bill Lee,1941,3.64,3.38,3.75
Bill Lee,1942,3.75,3.55,3.96
Bill Lee,1943,3.96,3.72,3.06
Bill Lee,1944,3.06,2.89,3.69
Bill Lee,1945,3.69,3.51,4.01
Bill Lee,1973,2.82,2.62,3.51
Bill Lee,1974,3.51,3.38,3.86
Bill Lee,1977,3.95,3.67,3.52
Bill Lee,1978,3.52,3.20,3.04
Bill Lee,1979,3.04,2.91,5.28
Bill Lohrman,1939,4.32,4.09,3.76
Bill Lohrman,1940,3.76,3.53,3.71
Bill Lohrman,1941,3.71,3.34,2.45
Bill Long,1987,4.91,4.36,4.04
Bill McGee,1938,3.53,3.35,3.30
Bill McGee,1939,3.30,2.97,3.60
Bill Monbouquette,1959,4.18,3.93,3.66
Bill Monbouquette,1960,3.66,3.45,3.39
Bill Monbouquette,1961,3.39,3.00,3.33
Bill Monbouquette,1962,3.33,3.22,3.77
Bill Monbouquette,1963,3.77,3.65,4.07
Bill Monbouquette,1964,4.07,3.87,3.70
Bill Parsons,1971,3.22,3.05,3.78
Bill Phillips,1901,4.77,4.58,2.51
Bill Piercy,1923,2.84,2.55,6.18
Bill Posedel,1939,3.80,3.64,4.17
Bill Sherdel,1922,4.17,3.96,4.24
Bill Sherdel,1925,3.24,3.02,3.60
Bill Sherdel,1926,3.60,3.36,3.64
Bill Sherdel,1927,3.64,3.42,3.10
Bill Sherdel,1928,3.10,2.90,6.15
Bill Sherdel,1929,6.15,5.73,5.05
Bill Sherdel,1930,5.05,4.84,4.30
Bill Singer,1967,2.54,2.39,2.83
Bill Singer,1968,2.83,2.68,2.36
Bill Singer,1969,2.36,2.24,3.13
Bill Singer,1970,3.13,2.76,4.16
Bill Singer,1971,4.16,4.05,3.65
Bill Singer,1972,3.65,3.48,3.22
Bill Singer,1973,3.22,3.11,2.98
Bill Singer,1974,2.98,2.67,4.95
Bill Singer,1975,4.95,4.66,3.69
Bill Stafford,1961,2.63,2.41,3.65
Bill Steen,1912,3.63,3.34,2.06
Bill Steen,1913,2.06,1.79,2.60
Bill Stoneman,1969,4.43,4.28,4.48
Bill Stoneman,1970,4.48,4.27,3.21
Bill Stoneman,1971,3.21,3.07,3.00
Bill Swift,1932,3.99,3.87,3.24
Bill Swift,1933,3.24,2.97,3.84
Bill Swift,1934,3.84,3.65,3.00
Bill Swift,1935,3.00,2.86,4.29
Bill Swift,1936,4.29,4.18,3.71
Bill Swift,1992,2.18,1.84,2.82
Bill Swift,1993,2.82,2.64,3.38
Bill Swift,1994,3.38,2.89,4.94
Bill Travers,1975,4.48,4.13,2.81
Bill Travers,1976,2.81,2.60,5.25
Bill Travers,1977,5.25,4.50,4.41
Bill Travers,1978,4.41,4.18,4.13
Bill Travers,1979,4.13,3.94,3.71
Bill Voiselle,1944,3.02,2.85,4.56
Bill Voiselle,1945,4.56,4.32,3.68
Bill Voiselle,1946,3.68,3.57,4.63
Bill Voiselle,1947,4.63,4.41,3.82
Bill Voiselle,1948,3.82,3.69,4.28
Bill Walker,1929,3.28,3.08,3.94
Bill Walker,1930,3.94,3.74,2.14
Bill Walker,1931,2.14,1.84,4.17
Bill Walker,1932,4.17,3.77,3.76
Bill Walker,1933,3.76,3.49,3.10
Bill Walker,1934,3.10,2.81,3.30
Bill Wegman,1986,5.17,4.81,4.17
Bill Wegman,1987,4.17,3.97,4.02
Bill Wegman,1991,2.84,2.69,3.20
Bill Wegman,1992,3.20,3.02,4.34
Bill Wegman,1993,4.34,4.02,4.51
Bill Werle,1949,4.57,4.35,4.53
Bill Wight,1948,4.92,4.64,3.31
Bill Wight,1949,3.31,3.06,3.62
Bill Wight,1955,2.45,2.04,4.24
Bill Wight,1956,4.24,4.01,3.20
Billy Hoeft,1953,4.88,4.71,4.66
Billy Hoeft,1954,4.66,4.51,2.93
Billy Hoeft,1955,2.93,2.77,4.04
Billy Hoeft,1956,4.04,3.88,3.62
Billy Hoeft,1957,3.62,3.36,4.19
Billy Loes,1952,3.11,2.87,4.84
Billy Loes,1953,4.84,4.68,4.43
Billy Loes,1954,4.43,4.18,3.13
Billy O'Dell,1958,3.12,2.89,2.90
Billy O'Dell,1959,2.90,2.74,3.28
Billy O'Dell,1962,3.48,3.29,3.09
Billy Pierce,1949,4.12,3.89,4.08
Billy Pierce,1950,4.08,3.89,3.05
Billy Pierce,1951,3.05,2.86,2.58
Billy Pierce,1952,2.58,2.42,2.86
Billy Pierce,1953,2.86,2.65,3.46
Billy Pierce,1954,3.46,3.22,2.10
Billy Pierce,1955,2.10,1.82,3.26
Billy Pierce,1956,3.26,3.14,3.16
Billy Pierce,1957,3.16,3.04,2.67
Billy Pierce,1958,2.67,2.54,3.63
Billy Pierce,1959,3.63,3.38,3.66
Billy Pierce,1960,3.66,3.66,3.99
Billy Pierce,1961,3.99,3.71,3.76
Blake Snell,2017,4.04,3.79,1.89
Blake Snell,2018,1.89,1.45,4.29
Blake Snell,2021,4.20,4.01,3.38
Blake Snell,2022,3.38,3.03,2.25
Blue Moon Odom,1968,2.39,2.09,2.94
Blue Moon Odom,1969,2.94,2.79,3.80
Blue Moon Odom,1970,3.80,3.52,4.29
Blue Moon Odom,1971,4.29,4.03,2.57
Blue Moon Odom,1972,2.57,2.32,5.11
Boardwalk Brown,1912,3.68,3.50,2.94
Boardwalk Brown,1913,2.94,2.94,3.71
Bob Anderson,1959,4.15,4.00,3.91
Bob Bruce,1962,4.40,4.24,3.55
Bob Bruce,1963,3.55,3.33,2.85
Bob Bruce,1964,2.85,2.63,3.68
Bob Bruce,1965,3.68,3.55,5.03
Bob Buhl,1955,3.30,3.11,3.25
Bob Buhl,1956,3.25,3.03,2.79
Bob Buhl,1959,2.84,2.55,3.18
Bob Buhl,1960,3.18,2.93,4.21
Bob Buhl,1961,4.21,4.08,4.00
Bob Buhl,1962,4.00,3.82,3.33
Bob Buhl,1963,3.33,3.15,3.85
Bob Buhl,1964,3.85,3.54,4.34
Bob Buhl,1965,4.34,4.20,4.94
Bob Cain,1950,3.60,3.43,4.50
Bob Cain,1951,4.50,4.28,4.28
Bob Carpenter,1941,4.33,4.10,3.26
Bob Chesnes,1948,3.64,3.35,6.03
Bob Feller,1937,3.37,3.05,4.10
Bob Feller,1938,4.10,3.70,2.87
Bob Feller,1939,2.87,2.75,2.52
Bob Feller,1940,2.52,2.37,3.16
Bob Feller,1946,2.11,1.90,2.57
Bob Feller,1947,2.57,2.49,3.56
Bob Feller,1948,3.56,3.43,4.15
Bob Feller,1949,4.15,3.79,3.38
Bob Feller,1950,3.38,3.24,3.27
Bob Feller,1951,3.27,3.15,4.79
Bob Feller,1952,4.79,4.51,3.59
Bob Feller,1953,3.59,3.35,3.09
Bob Forsch,1975,2.86,2.63,3.81
Bob Forsch,1976,3.81,3.54,3.48
Bob Forsch,1977,3.48,3.19,3.70
Bob Forsch,1978,3.70,3.44,3.80
Bob Forsch,1979,3.80,3.63,3.77
Bob Forsch,1980,3.77,3.47,3.18
Bob Forsch,1981,3.18,2.89,3.53
Bob Forsch,1982,3.53,3.39,4.40
Bob Forsch,1985,3.82,3.50,3.25
Bob Forsch,1986,3.25,3.09,4.43
Bob Friend,1951,4.60,4.27,4.62
Bob Friend,1952,4.62,4.33,4.60
Bob Friend,1953,4.60,4.34,5.82
Bob Friend,1954,5.82,5.56,3.21
Bob Friend,1955,3.21,2.96,3.53
Bob Friend,1956,3.53,3.45,3.26
Bob Friend,1957,3.26,3.12,3.65
Bob Friend,1958,3.65,3.49,4.03
Bob Friend,1959,4.03,3.70,3.01
Bob Friend,1960,3.01,2.89,3.98
