playername,year,realERA,adjustedERA,nextERA
A.J. Burnett,2001,4.05,2.78,3.12
A.J. Burnett,2004,3.74,2.23,3.44
A.J. Burnett,2005,3.44,2.63,3.98
A.J. Burnett,2006,3.98,2.86,3.75
A.J. Burnett,2007,3.75,2.51,4.00
A.J. Burnett,2008,4.00,2.92,4.04
A.J. Burnett,2009,4.04,2.93,5.26
A.J. Burnett,2010,5.26,3.98,5.16
A.J. Burnett,2011,5.16,3.92,3.51
A.J. Burnett,2012,3.51,2.39,3.30
A.J. Burnett,2013,3.30,2.38,4.59
A.J. Burnett,2014,4.59,3.65,3.18
Aaron Cook,2006,4.23,3.47,4.12
Aaron Cook,2007,4.12,2.80,3.96
Aaron Cook,2008,3.96,3.03,4.16
Aaron Cook,2009,4.16,2.92,5.08
Aaron Harang,2004,4.86,3.65,3.83
Aaron Harang,2005,3.83,3.11,3.78
Aaron Harang,2006,3.78,2.98,3.73
Aaron Harang,2007,3.73,3.11,4.89
Aaron Harang,2008,4.89,3.56,4.21
Aaron Harang,2009,4.21,2.99,5.22
Aaron Harang,2010,5.22,3.79,3.64
Aaron Harang,2011,3.64,2.14,3.61
Aaron Harang,2012,3.61,2.78,5.40
Aaron Harang,2013,5.40,3.74,3.57
Aaron Harang,2014,3.57,2.30,4.86
Aaron Nola,2016,4.78,2.72,3.54
Aaron Nola,2017,3.54,2.24,2.37
Aaron Nola,2018,2.37,1.79,3.87
Aaron Nola,2021,4.63,3.38,3.25
Aaron Nola,2022,3.25,2.39,4.46
Aaron Sanchez,2018,4.89,3.43,5.89
Aaron Sele,1993,2.74,2.06,3.83
Aaron Sele,1996,5.32,3.77,5.38
Aaron Sele,1997,5.38,3.89,4.23
Aaron Sele,1998,4.23,3.14,4.79
Aaron Sele,1999,4.79,3.66,4.51
Aaron Sele,2000,4.51,3.45,3.63
Aaron Sele,2001,3.63,2.66,4.89
Aaron Sele,2002,4.89,3.72,5.77
Aaron Sele,2003,5.77,3.72,5.03
Aaron Sele,2004,5.03,3.41,5.66
Ad Brennan,1912,3.64,2.31,2.57
Adam Conley,2016,3.85,2.53,6.17
Adam Eaton,2000,4.13,2.59,4.32
Adam Eaton,2003,4.08,3.20,4.61
Adam Eaton,2004,4.61,3.39,4.05
Adam Eaton,2007,6.29,5.14,5.71
Adam Wainwright,2007,3.70,2.55,3.20
Adam Wainwright,2008,3.20,1.95,2.63
Adam Wainwright,2009,2.63,1.85,2.42
Adam Wainwright,2012,3.94,2.74,2.94
Adam Wainwright,2013,2.94,2.03,2.38
Adam Wainwright,2016,4.62,3.43,5.12
Adam Wainwright,2021,3.05,2.14,3.71
Adam Wainwright,2022,3.71,2.75,7.40
Addie Joss,1902,2.61,1.72,2.20
Addie Joss,1903,2.20,1.43,1.62
Adrian Houser,2021,3.33,2.08,4.83
Adrian Houser,2022,4.83,3.57,4.23
Al Benton,1941,3.12,1.73,2.97
Al Benton,1945,2.04,1.37,3.82
Al Brazle,1946,3.33,1.90,3.13
Al Brazle,1947,3.13,2.22,3.68
Al Brazle,1948,3.68,2.50,3.29
Al Demaree,1913,1.90,1.26,3.04
Al Demaree,1914,3.04,2.34,2.92
Al Demaree,1915,2.92,2.20,2.54
Al Demaree,1916,2.54,2.05,2.75
Al Demaree,1917,2.75,1.87,2.23
Al Downing,1963,2.39,1.55,3.47
Al Downing,1964,3.47,2.87,3.46
Al Downing,1965,3.46,2.67,3.56
Al Downing,1966,3.56,2.92,2.80
Al Downing,1970,3.60,2.39,2.74
Al Downing,1971,2.74,2.19,3.02
Al Downing,1972,3.02,2.26,3.38
Al Fitzmorris,1974,2.84,1.95,3.57
Al Fitzmorris,1975,3.57,2.81,3.06
Al Fitzmorris,1976,3.06,2.49,5.19
Al Gerheauser,1943,3.65,2.79,4.56
Al Gettel,1947,3.33,2.15,4.38
Al Hollingsworth,1935,3.39,2.48,4.13
Al Hollingsworth,1936,4.13,3.41,3.91
Al Hollingsworth,1937,3.91,3.16,4.27
Al Hollingsworth,1942,3.10,1.78,4.73
Al Jackson,1962,4.45,3.58,3.99
Al Jackson,1963,3.99,3.09,4.35
Al Jackson,1964,4.35,3.73,4.45
Al Jackson,1965,4.45,3.44,2.61
Al Javery,1941,4.57,2.94,3.07
Al Javery,1942,3.07,2.31,3.22
Al Javery,1943,3.22,2.42,3.62
Al Leiter,1994,5.08,3.75,3.64
Al Leiter,1995,3.64,2.73,2.93
Al Leiter,1996,2.93,2.20,4.34
Al Leiter,1997,4.34,3.02,2.47
Al Leiter,1998,2.47,1.85,4.41
Al Leiter,1999,4.41,3.56,3.20
Al Leiter,2000,3.20,2.10,3.31
Al Leiter,2001,3.31,2.18,3.48
Al Leiter,2002,3.48,2.40,3.99
Al Leiter,2003,3.99,2.45,3.21
Al Leiter,2004,3.21,2.17,6.21
Al Mamaux,1915,2.10,1.44,2.50
Al Mamaux,1919,2.86,1.67,3.25
Al Milnar,1939,3.96,3.05,3.39
Al Milnar,1940,3.39,2.70,4.22
Al Milnar,1941,4.22,3.20,4.37
Al Nipper,1984,3.98,2.61,4.06
Al Nipper,1985,4.06,2.97,5.38
Al Nipper,1986,5.38,4.14,5.43
Al Orth,1901,2.26,1.47,3.98
Al Orth,1902,3.98,3.24,4.52
Al Orth,1903,4.52,3.60,3.36
Al Schulz,1913,3.81,2.98,3.78
Al Schulz,1914,3.78,2.88,2.93
Al Schulz,1915,2.93,2.19,3.70
Al Smith,1940,3.58,2.61,3.76
Al Smith,1941,3.76,3.02,4.21
Al Smith,1942,4.21,2.98,2.55
Al Smith,1943,2.55,1.75,3.40
Al Smith,1944,3.40,2.52,4.13
Alan Benes,1996,4.88,3.59,2.89
Alan Foster,1970,4.26,3.54,4.41
Alan Foster,1973,3.07,2.22,3.87
Albert Williams,1981,4.19,3.22,4.22
Albert Williams,1982,4.22,2.91,3.89
Albie Lopez,2000,3.88,2.51,4.81
Alejandro Pena,1983,2.84,1.83,2.48
Alek Manoah,2021,3.22,1.64,2.24
Alex Cobb,2012,4.03,2.53,2.76
Alex Cobb,2013,2.76,1.84,2.87
Alex Cobb,2017,3.66,2.45,4.90
Alex Cobb,2022,3.73,2.75,3.87
Alex Ferguson,1922,4.29,3.50,4.21
Alex Ferguson,1923,4.21,3.29,3.55
Alex Ferguson,1927,4.84,4.06,6.81
Alex Fernandez,1991,4.57,3.27,4.27
Alex Fernandez,1992,4.27,3.30,3.13
Alex Fernandez,1993,3.13,2.54,3.86
Alex Fernandez,1994,3.86,2.85,3.80
Alex Fernandez,1995,3.80,2.65,3.45
Alex Fernandez,1996,3.45,2.68,3.59
Alex Kellner,1949,3.64,2.92,5.33
Alex Kellner,1950,5.33,3.91,4.59
Alex Kellner,1951,4.59,3.66,4.38
Alex Kellner,1952,4.38,3.24,3.93
Alex Kellner,1953,3.93,2.98,5.39
Alex Kellner,1954,5.39,4.24,4.12
Alex Wood,2014,2.59,1.69,3.84
Alex Wood,2017,2.82,1.63,3.65
Alex Wood,2021,3.83,2.69,5.10
Alfredo Simon,2014,3.44,2.51,5.05
Allan Anderson,1988,2.45,1.84,3.80
Allan Anderson,1989,3.80,2.82,4.53
Allan Anderson,1990,4.53,3.37,4.80
Allen Russell,1918,3.28,1.75,3.12
Allen Sothoron,1917,2.67,1.99,1.95
Allen Sothoron,1918,1.95,1.39,2.23
Allen Sothoron,1919,2.23,1.47,4.36
Allen Sothoron,1920,4.36,3.29,4.35
Allen Sothoron,1924,3.59,2.67,3.99
Allen Watson,1994,5.52,3.88,5.45
Allen Watson,1995,5.45,3.83,4.61
Allen Watson,1996,4.61,3.68,4.79
Allie Reynolds,1943,2.71,1.85,3.53
Allie Reynolds,1944,3.53,2.54,3.09
Allie Reynolds,1945,3.09,2.15,3.91
Allie Reynolds,1946,3.91,2.91,3.22
Allie Reynolds,1947,3.22,2.50,3.99
Allie Reynolds,1948,3.99,3.32,4.31
Allie Reynolds,1949,4.31,3.31,3.42
Allie Reynolds,1950,3.42,2.44,2.74
Allie Reynolds,1951,2.74,1.67,2.14
Andrew Cashner,2013,3.04,2.21,2.55
Andrew Cashner,2014,2.55,1.57,4.34
Andrew Cashner,2015,4.34,3.32,5.26
Andrew Cashner,2016,5.26,3.50,3.40
Andrew Cashner,2017,3.40,2.47,5.29
Andrew Cashner,2018,5.29,3.75,4.83
Andy Ashby,1993,6.53,4.47,3.40
Andy Ashby,1994,3.40,2.23,2.94
Andy Ashby,1995,2.94,2.03,3.23
Andy Ashby,1996,3.23,2.42,4.13
Andy Ashby,1997,4.13,3.16,3.34
Andy Ashby,1998,3.34,2.38,3.80
Andy Ashby,1999,3.80,2.92,4.92
Andy Benes,1990,3.50,2.62,3.03
Andy Benes,1991,3.03,2.04,3.35
Andy Benes,1992,3.35,2.52,3.78
Andy Benes,1993,3.78,2.71,3.86
Andy Benes,1994,3.86,2.89,4.76
Andy Benes,1995,4.76,3.69,3.77
Andy Benes,1996,3.77,2.91,3.10
Andy Benes,1997,3.10,2.34,3.97
Andy Benes,1998,3.97,3.04,4.81
Andy Benes,1999,4.81,3.81,4.64
Andy Hassler,1974,2.62,1.66,5.88
Andy Hassler,1975,5.88,4.42,3.56
Andy Hassler,1976,3.56,1.88,4.28
Andy Hawkins,1983,3.01,2.14,5.25
Andy Hawkins,1984,5.25,3.43,3.15
Andy Hawkins,1985,3.15,2.52,4.37
Andy Hawkins,1986,4.37,3.36,5.20
Andy Hawkins,1987,5.20,3.81,3.35
Andy Hawkins,1988,3.35,2.41,4.80
Andy Hawkins,1989,4.80,3.04,5.44
Andy Messersmith,1969,2.62,1.92,3.31
Andy Messersmith,1970,3.31,2.35,2.99
Andy Messersmith,1971,2.99,2.26,2.96
Andy Messersmith,1972,2.96,1.86,2.70
Andy Messersmith,1973,2.70,2.09,2.59
Andy Messersmith,1974,2.59,1.91,2.31
Andy Messersmith,1975,2.31,1.61,3.07
Andy Messersmith,1976,3.07,2.06,4.40
Andy Pettitte,1995,4.13,2.84,3.92
Andy Pettitte,1996,3.92,2.85,2.88
Andy Pettitte,1997,2.88,2.25,4.30
Andy Pettitte,1998,4.30,3.23,4.70
Andy Pettitte,1999,4.70,3.62,4.35
Andy Pettitte,2000,4.35,2.99,3.99
Andy Pettitte,2001,3.99,3.03,3.27
Andy Pettitte,2002,3.27,2.04,4.02
Andy Pettitte,2005,2.39,1.38,4.18
Andy Pettitte,2006,4.18,3.15,4.09
Andy Pettitte,2007,4.09,2.99,4.54
Andy Pettitte,2008,4.54,3.43,4.16
Andy Pettitte,2009,4.16,3.36,3.28
Andy Sonnanstine,2007,5.85,4.45,4.38
Anibal Sanchez,2010,3.55,2.68,3.67
Anibal Sanchez,2011,3.67,2.64,3.86
Anibal Sanchez,2012,3.86,2.64,2.57
Anibal Sanchez,2013,2.57,1.72,3.46
Anibal Sanchez,2014,3.46,2.32,4.99
Anibal Sanchez,2015,4.99,3.60,6.04
Anibal Sanchez,2018,2.90,1.99,3.85
Anthony DeSclafani,2015,4.05,3.10,3.28
Anthony DeSclafani,2018,4.93,3.59,3.89
Ariel Prieto,1996,4.15,2.70,5.04
Armando Galarraga,2008,3.59,2.71,5.36
Armando Galarraga,2009,5.36,3.72,4.54
Armando Reynoso,1999,4.30,3.04,5.20
Arnie Portocarrero,1954,4.01,3.09,4.73
Art Ditmar,1955,5.46,4.06,4.55
Art Ditmar,1959,2.74,1.81,2.97
Art Fowler,1954,3.70,2.91,4.15
Art Fowler,1955,4.15,3.40,4.47
Art Fromme,1912,2.84,2.20,4.58
Art Houtteman,1948,5.01,3.66,3.76
Art Houtteman,1949,3.76,3.03,3.61
Art Houtteman,1952,4.38,3.33,5.07
Art Houtteman,1953,5.07,3.73,3.33
Art Mahaffey,1961,4.17,3.27,3.90
Art Mahaffey,1962,3.90,3.33,4.02
Art Mahaffey,1963,4.02,2.82,4.61
Art Nehf,1917,2.16,1.50,2.70
Art Nehf,1918,2.70,2.07,2.46
Art Nehf,1919,2.46,1.75,2.97
Art Nehf,1920,2.97,2.19,3.43
Art Nehf,1921,3.43,2.63,3.36
Art Nehf,1922,3.36,2.59,4.57
Art Nehf,1923,4.57,3.62,3.92
Art Nehf,1924,3.92,2.83,4.16
Atlee Hammaker,1982,4.03,3.01,2.25
Atley Donald,1941,3.61,2.91,3.16
Babe Adams,1911,1.59,0.73,2.76
Babe Adams,1912,2.76,1.73,1.98
Babe Adams,1913,1.98,1.52,2.45
Babe Adams,1914,2.45,1.91,2.79
Babe Adams,1919,2.08,1.44,2.21
Babe Adams,1920,2.21,1.69,3.01
Babe Adams,1921,3.01,2.06,3.64
Babe Adams,1922,3.64,2.55,4.42
Babe Ruth,1915,2.61,1.78,1.78
Babe Ruth,1916,1.78,1.30,2.03
Babe Ruth,1917,2.03,1.60,2.16
Babe Ruth,1918,2.16,1.31,3.29
Balor Moore,1972,3.47,2.21,4.54
Barney Wolfe,1903,2.95,1.05,2.95
Barry Latman,1959,4.03,2.71,4.50
Barry Latman,1960,4.50,3.21,4.46
Barry Latman,1961,4.46,2.98,4.39
Barry Latman,1962,4.39,3.21,5.24
Barry Moore,1967,3.79,2.53,3.29
Barry Moore,1968,3.29,1.88,4.21
Barry Moore,1969,4.21,3.00,5.35
Barry Zito,2001,3.49,2.51,2.75
Barry Zito,2002,2.75,1.84,3.30
Barry Zito,2003,3.30,2.39,4.48
Barry Zito,2004,4.48,3.42,3.86
Barry Zito,2005,3.86,3.02,3.83
Barry Zito,2006,3.83,2.78,4.55
Barry Zito,2007,4.55,3.39,5.15
Barry Zito,2008,5.15,3.98,4.03
Barry Zito,2009,4.03,2.75,4.13
Barry Zito,2012,4.15,2.99,5.55
Bartolo Colon,1998,3.71,2.68,3.95
Bartolo Colon,1999,3.95,2.95,3.88
Bartolo Colon,2000,3.88,2.81,4.09
Bartolo Colon,2001,4.09,3.12,2.93
Bartolo Colon,2002,2.93,2.17,3.87
Bartolo Colon,2003,3.87,3.00,5.01
Bartolo Colon,2004,5.01,3.82,3.48
Bartolo Colon,2011,4.00,2.63,3.43
Bartolo Colon,2012,3.43,1.95,2.65
Bartolo Colon,2013,2.65,1.71,4.09
Bartolo Colon,2014,4.09,2.96,4.20
Bartolo Colon,2015,4.20,2.90,3.45
Bartolo Colon,2016,3.45,2.34,6.48
Bartolo Colon,2017,6.48,4.95,5.68
Ben Cantwell,1929,4.69,3.38,4.77
Ben Cantwell,1930,4.77,3.53,3.78
Ben Cantwell,1933,2.78,1.90,4.74
Ben Cantwell,1934,4.74,3.63,4.01
Ben McDonald,1990,2.56,1.45,4.84
Ben McDonald,1991,4.84,3.45,4.24
Ben McDonald,1992,4.24,3.35,3.39
Ben McDonald,1993,3.39,2.29,4.06
Ben McDonald,1996,3.90,3.05,4.06
Ben Sheets,2001,4.76,3.18,4.15
Ben Sheets,2002,4.15,3.23,4.45
Ben Sheets,2003,4.45,3.53,2.70
Ben Sheets,2004,2.70,2.08,3.33
Ben Sheets,2005,3.33,2.07,3.82
Ben Sheets,2006,3.82,2.26,3.82
Ben Sheets,2007,3.82,2.52,3.09
Bennie Daniels,1961,3.40,2.55,5.22
Bennie Daniels,1962,5.22,3.45,4.38
Bennie Daniels,1963,4.38,3.55,3.95
Benny Frey,1930,4.60,2.99,5.14
Bernie Boland,1917,2.71,1.78,2.58
Bernie Boland,1918,2.58,1.66,3.20
Bert Blyleven,1970,3.08,1.91,2.81
Bert Blyleven,1971,2.81,2.20,2.70
Bert Blyleven,1972,2.70,2.16,2.52
Bert Blyleven,1973,2.52,1.96,2.66
Bert Blyleven,1974,2.66,2.05,3.00
Bert Blyleven,1975,3.00,2.44,2.87
Bert Blyleven,1976,2.87,2.04,2.72
Bert Blyleven,1977,2.72,1.80,3.03
Bert Blyleven,1978,3.03,2.19,3.60
Bert Blyleven,1979,3.60,2.81,3.77
Bert Blyleven,1980,3.77,2.83,2.88
Bert Blyleven,1983,3.91,2.75,2.90
Bert Blyleven,1984,2.90,2.22,3.16
Bert Blyleven,1985,3.16,2.57,4.01
Bert Blyleven,1986,4.01,3.05,4.01
Bert Blyleven,1987,4.01,3.24,5.43
Bert Blyleven,1988,5.43,4.29,2.73
Bert Blyleven,1989,2.73,1.99,5.24
Bert Gallia,1915,2.29,1.37,3.01
Bert Gallia,1916,3.01,2.19,2.88
Bert Gallia,1917,2.88,2.06,3.58
Bert Gallia,1918,3.58,2.18,3.81
Bert Humphries,1913,2.96,2.20,2.38
Bert Humphries,1914,2.38,1.23,2.54
Bert Husting,1901,4.22,3.13,3.85
Bill Bailey,1914,3.37,2.20,4.46
Bill Bernhard,1901,4.40,3.49,2.20
Bill Bernhard,1902,2.20,1.57,2.09
Bill Bernhard,1903,2.09,0.93,2.15
Bill Bevens,1945,3.52,2.47,2.20
Bill Bevens,1946,2.20,1.53,4.00
Bill Bonham,1974,3.92,3.16,4.69
Bill Bonham,1975,4.69,3.75,4.27
Bill Bonham,1976,4.27,3.23,4.36
Bill Bonham,1977,4.36,3.57,3.53
Bill Bonham,1978,3.53,2.16,3.79
Bill Butler,1969,4.13,3.26,3.77
Bill Carrick,1901,3.63,2.75,4.80
Bill Dietrich,1934,4.12,3.02,6.50
Bill Dietrich,1939,5.06,3.45,3.75
Bill Dietrich,1942,5.25,3.83,2.84
Bill Dietrich,1943,2.84,2.02,3.66
Bill Dietrich,1944,3.66,2.87,4.21
Bill Dinneen,1901,2.82,2.05,2.93
Bill Dinneen,1902,2.93,2.28,2.17
Bill Dinneen,1903,2.17,1.60,2.20
Bill Doak,1914,1.84,1.30,2.64
Bill Doak,1915,2.64,1.92,2.75
Bill Doak,1916,2.75,1.86,3.25
Bill Doak,1917,3.25,2.55,1.98
Bill Doak,1918,1.98,1.35,3.23
Bill Doak,1919,3.23,2.50,2.79
Bill Doak,1920,2.79,1.92,2.57
Bill Doak,1921,2.57,2.23,5.23
Bill Doak,1922,5.23,3.93,2.90
Bill Doak,1923,2.90,2.08,3.19
Bill Donovan,1901,2.77,2.22,2.79
Bill Donovan,1902,2.79,1.87,2.33
Bill Donovan,1903,2.33,1.63,2.46
Bill Duggleby,1901,2.58,1.54,3.31
Bill Gogolewski,1971,2.78,1.63,4.74
Bill Greif,1972,5.60,3.56,3.31
Bill Greif,1973,3.31,2.51,4.75
Bill Gullickson,1980,2.77,1.68,2.80
Bill Gullickson,1981,2.80,2.25,3.57
Bill Gullickson,1982,3.57,2.91,3.75
Bill Gullickson,1983,3.75,3.04,3.61
Bill Gullickson,1984,3.61,2.94,3.52
Bill Gullickson,1985,3.52,2.35,3.38
Bill Gullickson,1986,3.38,2.51,4.86
Bill Gullickson,1990,3.82,2.86,3.90
Bill Gullickson,1991,3.90,3.09,4.34
Bill Gullickson,1992,4.34,3.60,5.37
Bill Gullickson,1993,5.37,4.27,5.98
Bill Hallahan,1930,4.51,3.54,3.47
Bill Hallahan,1931,3.47,2.40,3.12
Bill Hallahan,1932,3.12,2.24,3.24
Bill Hallahan,1933,3.24,2.50,4.24
Bill Hallahan,1934,4.24,2.81,3.42
Bill Hallahan,1935,3.42,2.39,4.86
Bill Hands,1968,2.70,2.06,2.49
Bill Hands,1969,2.49,1.98,3.72
Bill Hands,1970,3.72,2.86,3.43
Bill Hands,1971,3.43,2.70,3.02
Bill Hubbell,1920,4.06,2.72,4.61
Bill Hubbell,1921,4.61,3.84,5.41
Bill James,1913,3.72,1.45,2.30
Bill James,1914,2.30,2.06,3.09
Bill James,1915,3.09,2.29,3.57
Bill James,1916,3.57,2.31,2.54
Bill James,1917,2.54,1.71,4.05
Bill James,1918,4.05,2.40,3.13
Bill Krueger,1983,3.72,1.82,4.83
Bill Krueger,1984,4.83,3.21,4.74
Bill Krueger,1991,3.50,2.30,4.51
Bill Laskey,1982,3.15,2.48,4.19
Bill Laskey,1983,4.19,3.02,4.35
Bill Laskey,1984,4.35,3.37,4.86
Bill Lee,1934,3.38,2.56,3.04
Bill Lee,1935,3.04,2.27,3.12
Bill Lee,1936,3.12,2.59,3.61
Bill Lee,1937,3.61,3.00,2.67
Bill Lee,1938,2.67,2.16,3.38
Bill Lee,1939,3.38,2.79,5.19
Bill Lee,1940,5.19,4.35,3.64
Bill Lee,1941,3.64,2.59,3.75
Bill Lee,1942,3.75,2.79,3.96
Bill Lee,1943,3.96,2.56,3.06
Bill Lee,1944,3.06,2.23,3.69
Bill Lee,1945,3.69,2.76,4.01
Bill Lee,1973,2.82,2.11,3.51
Bill Lee,1974,3.51,2.66,3.86
Bill Lee,1977,3.95,2.62,3.52
Bill Lee,1978,3.52,2.44,3.04
Bill Lee,1979,3.04,2.39,5.28
Bill Lohrman,1939,4.32,3.07,3.76
Bill Lohrman,1940,3.76,2.84,3.71
Bill Lohrman,1941,3.71,2.54,2.45
Bill Long,1987,4.91,3.73,4.04
Bill McGee,1938,3.53,2.61,3.30
Bill McGee,1939,3.30,2.03,3.60
Bill Monbouquette,1959,4.18,3.31,3.66
Bill Monbouquette,1960,3.66,2.87,3.39
Bill Monbouquette,1961,3.39,2.49,3.33
Bill Monbouquette,1962,3.33,2.54,3.77
Bill Monbouquette,1963,3.77,2.98,4.07
Bill Monbouquette,1964,4.07,3.26,3.70
Bill Parsons,1971,3.22,2.38,3.78
Bill Phillips,1901,4.77,3.79,2.51
Bill Piercy,1923,2.84,1.94,6.18
Bill Posedel,1939,3.80,2.90,4.17
Bill Sherdel,1922,4.17,3.34,4.24
Bill Sherdel,1925,3.24,2.32,3.60
Bill Sherdel,1926,3.60,2.76,3.64
Bill Sherdel,1927,3.64,2.81,3.10
Bill Sherdel,1928,3.10,2.19,6.15
Bill Sherdel,1929,6.15,4.39,5.05
Bill Sherdel,1930,5.05,4.17,4.30
Bill Singer,1967,2.54,1.78,2.83
Bill Singer,1968,2.83,2.19,2.36
Bill Singer,1969,2.36,1.78,3.13
Bill Singer,1970,3.13,1.29,4.16
Bill Singer,1971,4.16,3.34,3.65
Bill Singer,1972,3.65,2.74,3.22
Bill Singer,1973,3.22,2.63,2.98
Bill Singer,1974,2.98,1.88,4.95
Bill Singer,1975,4.95,3.81,3.69
Bill Stafford,1961,2.63,1.84,3.65
Bill Steen,1912,3.63,2.41,2.06
Bill Steen,1913,2.06,0.98,2.60
Bill Stoneman,1969,4.43,3.46,4.48
Bill Stoneman,1970,4.48,3.40,3.21
Bill Stoneman,1971,3.21,2.57,3.00
Bill Swift,1932,3.99,3.23,3.24
Bill Swift,1933,3.24,2.50,3.84
Bill Swift,1934,3.84,2.82,3.00
Bill Swift,1935,3.00,2.24,4.29
Bill Swift,1936,4.29,3.60,3.71
Bill Swift,1992,2.18,1.07,2.82
Bill Swift,1993,2.82,2.05,3.38
Bill Swift,1994,3.38,1.67,4.94
Bill Travers,1975,4.48,3.14,2.81
Bill Travers,1976,2.81,1.99,5.25
Bill Travers,1977,5.25,3.64,4.41
Bill Travers,1978,4.41,3.50,4.13
Bill Travers,1979,4.13,3.19,3.71
Bill Voiselle,1944,3.02,2.14,4.56
Bill Voiselle,1945,4.56,3.60,3.68
Bill Voiselle,1946,3.68,2.71,4.63
Bill Voiselle,1947,4.63,3.49,3.82
Bill Voiselle,1948,3.82,3.16,4.28
Bill Walker,1929,3.28,2.60,3.94
Bill Walker,1930,3.94,3.19,2.14
Bill Walker,1931,2.14,1.16,4.17
Bill Walker,1932,4.17,2.94,3.76
Bill Walker,1933,3.76,2.52,3.10
Bill Walker,1934,3.10,2.20,3.30
Bill Wegman,1986,5.17,4.31,4.17
Bill Wegman,1987,4.17,3.32,4.02
Bill Wegman,1991,2.84,2.07,3.20
Bill Wegman,1992,3.20,2.61,4.34
Bill Wegman,1993,4.34,2.93,4.51
Bill Werle,1949,4.57,3.59,4.53
Bill Wight,1948,4.92,3.77,3.31
Bill Wight,1949,3.31,2.39,3.62
Bill Wight,1955,2.45,1.14,4.24
Bill Wight,1956,4.24,3.11,3.20
Billy Hoeft,1953,4.88,3.84,4.66
Billy Hoeft,1954,4.66,3.61,2.93
Billy Hoeft,1955,2.93,2.11,4.04
Billy Hoeft,1956,4.04,3.24,3.62
Billy Hoeft,1957,3.62,2.81,4.19
Billy Loes,1952,3.11,2.03,4.84
Billy Loes,1953,4.84,3.62,4.43
Billy Loes,1954,4.43,3.61,3.13
Billy O'Dell,1958,3.12,2.03,2.90
Billy O'Dell,1959,2.90,1.80,3.28
Billy O'Dell,1962,3.48,2.75,3.09
Billy Pierce,1949,4.12,3.07,4.08
Billy Pierce,1950,4.08,3.00,3.05
Billy Pierce,1951,3.05,2.20,2.58
Billy Pierce,1952,2.58,2.01,2.86
Billy Pierce,1953,2.86,2.12,3.46
Billy Pierce,1954,3.46,2.73,2.10
Billy Pierce,1955,2.10,1.29,3.26
Billy Pierce,1956,3.26,2.61,3.16
Billy Pierce,1957,3.16,2.50,2.67
Billy Pierce,1958,2.67,2.04,3.63
Billy Pierce,1959,3.63,2.86,3.66
Billy Pierce,1960,3.66,3.03,3.99
Billy Pierce,1961,3.99,3.20,3.76
Blake Snell,2017,4.04,2.65,1.89
Blake Snell,2018,1.89,1.06,4.29
Blake Snell,2021,4.20,2.45,3.38
Blake Snell,2022,3.38,1.99,2.25
Blue Moon Odom,1968,2.39,1.85,2.94
Blue Moon Odom,1969,2.94,2.15,3.80
Blue Moon Odom,1970,3.80,2.65,4.29
Blue Moon Odom,1971,4.29,3.08,2.57
Blue Moon Odom,1972,2.57,1.78,5.11
Boardwalk Brown,1912,3.68,2.55,2.94
Boardwalk Brown,1913,2.94,2.63,3.71
Bob Anderson,1959,4.15,3.43,3.91
Bob Bruce,1962,4.40,3.56,3.55
Bob Bruce,1963,3.55,2.56,2.85
Bob Bruce,1964,2.85,2.17,3.68
Bob Bruce,1965,3.68,2.98,5.03
Bob Buhl,1955,3.30,2.39,3.25
Bob Buhl,1956,3.25,2.47,2.79
Bob Buhl,1959,2.84,1.93,3.18
Bob Buhl,1960,3.18,2.59,4.21
Bob Buhl,1961,4.21,3.53,4.00
Bob Buhl,1962,4.00,3.06,3.33
Bob Buhl,1963,3.33,2.46,3.85
Bob Buhl,1964,3.85,3.02,4.34
Bob Buhl,1965,4.34,3.62,4.94
Bob Cain,1950,3.60,2.69,4.50
Bob Cain,1951,4.50,3.32,4.28
Bob Carpenter,1941,4.33,2.83,3.26
Bob Chesnes,1948,3.64,2.72,6.03
Bob Feller,1937,3.37,2.40,4.10
Bob Feller,1938,4.10,3.20,2.87
Bob Feller,1939,2.87,2.24,2.52
Bob Feller,1940,2.52,2.01,3.16
Bob Feller,1946,2.11,1.27,2.57
Bob Feller,1947,2.57,1.80,3.56
Bob Feller,1948,3.56,2.82,4.15
Bob Feller,1949,4.15,2.87,3.38
Bob Feller,1950,3.38,2.56,3.27
Bob Feller,1951,3.27,2.59,4.79
Bob Feller,1952,4.79,3.54,3.59
Bob Feller,1953,3.59,2.48,3.09
Bob Forsch,1975,2.86,2.03,3.81
Bob Forsch,1976,3.81,3.04,3.48
Bob Forsch,1977,3.48,2.53,3.70
Bob Forsch,1978,3.70,2.72,3.80
Bob Forsch,1979,3.80,2.89,3.77
Bob Forsch,1980,3.77,2.69,3.18
Bob Forsch,1981,3.18,2.20,3.53
Bob Forsch,1982,3.53,2.82,4.40
Bob Forsch,1985,3.82,2.53,3.25
Bob Forsch,1986,3.25,2.51,4.43
Bob Friend,1951,4.60,3.06,4.62
Bob Friend,1952,4.62,3.53,4.60
Bob Friend,1953,4.60,3.65,5.82
Bob Friend,1954,5.82,4.16,3.21
Bob Friend,1955,3.21,2.23,3.53
Bob Friend,1956,3.53,2.82,3.26
Bob Friend,1957,3.26,2.60,3.65
Bob Friend,1958,3.65,2.98,4.03
Bob Friend,1959,4.03,3.29,3.01
Bob Friend,1960,3.01,2.36,3.98
Bob Friend,1961,3.98,3.20,3.10
