GAMEID,Date,manager_name,team,win_loss
SLN193605230,05/23/1936,"""Frankie Frisch""",SLN,l
BRO194605230,05/23/1946,"""Leo Durocher""",BRO,w
PHI194605230,05/23/1946,"""Frankie Frisch""",PIT,w
NYA194905230,05/23/1949,"""Zack Taylor""",SLA,l
WS1195305230,05/23/1953,"""Jimmy Dykes""",PHA,w
BAL195905230,05/23/1959,"""Paul Richards""",BAL,l
WS2196205230,05/23/1962,"""Bill Rigney""",LAA,l
BAL197105232,05/23/1971,"""Eddie Kasko""",BOS,w
CHA197605232,05/23/1976,"""Chuck Tanner""",OAK,l
NYA197605230,05/23/1976,"""Darrell Johnson""",BOS,w
PIT198005230,05/23/1980,"""Dave Bristol""",SFN,l
OAK198105230,05/23/1981,"""Bobby Mattick""",TOR,l
PHI198305230,05/23/1983,"""Pat Corrales""",PHI,l
SLN198405230,05/23/1984,"""Whitey Herzog""",SLN,l
TEX198605230,05/23/1986,"""Bobby Valentine""",TEX,l
PHI198705230,05/23/1987,"""Roger Craig""",SFN,l
ATL199105230,05/23/1991,"""Bobby Cox""",ATL,l
TEX199205230,05/23/1992,"""Hal McRae""",KCA,l
TOR199405230,05/23/1994,"""Mike Hargrove""",CLE,l
SLN199405230,05/23/1994,"""Joe Torre""",SLN,l
MON199805230,05/23/1998,"""Felipe Alou""",MON,w
BOS199905230,05/23/1999,"""Jimy Williams""",BOS,w
CLE200105230,05/23/2001,"""Charlie Manuel""",CLE,w
MIL200105230,05/23/2001,"""Tony LaRussa""",SLN,l
CIN200605230,05/23/2006,"""Ned Yost""",MIL,l
FLO200705230,05/23/2007,"""Charlie Manuel""",PHI,w
DET200805230,05/23/2008,"""Jim Leyland""",DET,l
NYA200805230,05/23/2008,"""John McLaren""",SEA,l
CLE200805230,05/23/2008,"""Eric Wedge""",CLE,l
TBA200805230,05/23/2008,"""Dave Trembley""",BAL,l
OAK201005230,05/23/2010,"""Bob Geren""",OAK,w
CLE201105230,05/23/2011,"""Manny Acta""",CLE,w
SDN201105230,05/23/2011,"""Tony LaRussa""",SLN,w
CLE201505230,05/23/2015,"""Bryan Price""",CIN,l
ATL201705230,05/23/2017,"""Clint Hurdle""",PIT,l
NYN201905230,05/23/2019,"""Dave Martinez""",WAS,l
KCA202105230,05/23/2021,"""Mike Matheny""",KCA,w
SLN202105230,05/23/2021,"""David Ross""",CHN,w
CIN202305230,05/23/2023,"""Oliver Marmol""",SLN,w
CHA190505240,05/24/1905,"""Fielder Jones""",CHA,w
NYA191305240,05/24/1913,"""Frank Chance""",NYA,t
NY1191705240,05/24/1917,"""Fred Mitchell""",CHN,w
PHA192805242,05/24/1928,"""Miller Huggins""",NYA,l
WS1193505240,05/24/1935,"""Jimmy Dykes""",CHA,l
PHI194205242,05/24/1942,"""Casey Stengel""",BSN,w
PHI195305240,05/24/1953,"""Steve O'Neill""",PHI,l
CLE195505240,05/24/1955,"""Al Lopez""",CLE,l
CHN195905240,05/24/1959,"""Solly Hemus""",SLN,w
HOU196205240,05/24/1962,"""Fred Hutchinson""",CIN,w
HOU196605240,05/24/1966,"""Wes Westrum""",NYN,l
SDN196905240,05/24/1969,"""Leo Durocher""",CHN,w
SLN197205240,05/24/1972,"""Bill Virdon""",PIT,w
SDN197805240,05/24/1978,"""Tom Lasorda""",LAN,l
TOR198005240,05/24/1980,"""Bobby Mattick""",TOR,l
OAK198005240,05/24/1980,"""Pat Corrales""",TEX,l
CAL198005240,05/24/1980,"""Jim Frey""",KCA,w
OAK198305240,05/24/1983,"""Harvey Kuenn""",MIL,l
HOU198705240,05/24/1987,"""Hal Lanier""",HOU,l
PHI198805240,05/24/1988,"""Tom Lasorda""",LAN,w
ATL198905240,05/24/1989,"""Jim Leyland""",PIT,w
MON199005240,05/24/1990,"""Lou Piniella""",CIN,w
COL199405240,05/24/1994,"""Davey Johnson""",CIN,l
TOR199505240,05/24/1995,"""Cito Gaston""",TOR,l
CIN199705240,05/24/1997,"""Jim Riggleman""",CHN,l
NYN200105240,05/24/2001,"""John Boles""",FLO,l
TOR200405240,05/24/2004,"""Mike Scioscia""",ANA,l
NYA200505240,05/24/2005,"""Joe Torre""",NYA,w
MIN200605240,05/24/2006,"""Ron Gardenhire""",MIN,l
FLO200705240,05/24/2007,"""Fredi Gonzalez""",FLO,w
CHA200805240,05/24/2008,"""Ozzie Guillen""",CHA,l
COL201105242,05/24/2011,"""Jim Tracy""",COL,l
CLE201205240,05/24/2012,"""Jim Leyland""",DET,l
TOR201305240,05/24/2013,"""John Gibbons""",TOR,l
CHA201405240,05/24/2014,"""Robin Ventura""",CHA,l
PIT201605240,05/24/2016,"""Clint Hurdle""",PIT,w
CHN190805250,05/25/1908,"""John McGraw""",NY1,l
CHA191205250,05/25/1912,"""Nixey Callahan""",CHA,w
NY1191505250,05/25/1915,"""John McGraw""",NY1,l
CLE193105250,05/25/1931,"""Donie Bush""",CHA,l
PIT193705250,05/25/1937,"""Burleigh Grimes""",BRO,w
NY1193805250,05/25/1938,"""Frankie Frisch""",SLN,l
BSN194405250,05/25/1944,"""Frankie Frisch""",PIT,l
WS1194905250,05/25/1949,"""Joe Kuhel""",WS1,w
NY1195005250,05/25/1950,"""Leo Durocher""",NY1,l
CLE195105250,05/25/1951,"""Paul Richards""",CHA,w
SLA195205252,05/25/1952,"""Al Lopez""",CLE,w
PIT195805251,05/25/1958,"""Danny Murtaugh""",PIT,l
PHI196005250,05/25/1960,"""Gene Mauch""",PHI,l
BAL196105250,05/25/1961,"""Paul Richards""",BAL,w
MIN196805250,05/25/1968,"""Dick Williams""",BOS,l
OAK197105250,05/25/1971,"""Lefty Phillips""",CAL,l
CAL197205250,05/25/1972,"""Bob Lemon""",KCA,w
DET197305250,05/25/1973,"""Billy Martin""",DET,w
BOS197505250,05/25/1975,"""Darrell Johnson""",BOS,l
BAL197605250,05/25/1976,"""Earl Weaver""",BAL,l
BAL197705252,05/25/1977,"""Earl Weaver""",BAL,w
CHN197805250,05/25/1978,"""Danny Ozark""",PHI,l
MIL197905250,05/25/1979,"""George Bamberger""",MIL,w
SEA198005250,05/25/1980,"""Tony LaRussa""",CHA,l
MIL198105250,05/25/1981,"""Sparky Anderson""",DET,w
TEX198605250,05/25/1986,"""Bobby Valentine""",TEX,l
CHA199705250,05/25/1997,"""Phil Garner""",MIL,w
ANA199805250,05/25/1998,"""Terry Collins""",ANA,l
HOU199905250,05/25/1999,"""Jim Leyland""",COL,l
HOU200005250,05/25/2000,"""Terry Francona""",PHI,l
MIN200005250,05/25/2000,"""Tom Kelly""",MIN,l
ARI200205250,05/25/2002,"""Bob Brenly""",ARI,l
CHA200205250,05/25/2002,"""Luis Pujols""",DET,l
ATL200705250,05/25/2007,"""Bobby Cox""",ATL,l
SDN200705250,05/25/2007,"""Ned Yost""",MIL,l
ARI200905250,05/25/2009,"""Buddy Black""",SDN,w
KCA200905250,05/25/2009,"""Trey Hillman""",KCA,l
TBA201005250,05/25/2010,"""Joe Maddon""",TBA,l
MIN201205250,05/25/2012,"""Ron Gardenhire""",MIN,l
DET201305250,05/25/2013,"""Ron Gardenhire""",MIN,w
SFN201305250,05/25/2013,"""Bruce Bochy""",SFN,w
TOR201405250,05/25/2014,"""John Gibbons""",TOR,w
WAS201705250,05/25/2017,"""Scott Servais""",SEA,w
MIL201905250,05/25/2019,"""Craig Counsell""",MIL,l
CLE201905250,05/25/2019,"""Terry Francona""",CLE,l
CIN202205250,05/25/2022,"""David Ross""",CHN,l
NYA202305250,05/25/2023,"""Aaron Boone""",NYA,l
PIT191105260,05/26/1911,"""Fred Clarke""",PIT,l
CHA191205260,05/26/1912,"""Nixey Callahan""",CHA,l
CLE191605260,05/26/1916,"""Fielder Jones""",SLA,l
BSN191905260,05/26/1919,"""Fred Mitchell""",CHN,w
CIN192205262,05/26/1922,"""Bill Killefer""",CHN,l
NY1195005260,05/26/1950,"""Eddie Sawyer""",PHI,w
CHN195305262,05/26/1953,"""Phil Cavarretta""",CHN,w
PIT195505260,05/26/1955,"""Walter Alston""",BRO,w
CIN195705260,05/26/1957,"""Fred Hutchinson""",SLN,l
CHA195905260,05/26/1959,"""Al Lopez""",CHA,l
PHI196705260,05/26/1967,"""Gene Mauch""",PHI,w
OAK196805260,05/26/1968,"""Bob Kennedy""",OAK,w
MIL197105260,05/26/1971,"""Dave Bristol""",MIL,l
HOU197205260,05/26/1972,"""Harry Walker""",HOU,l
CAL197205260,05/26/1972,"""Del Rice""",CAL,w
NYA197405262,05/26/1974,"""Earl Weaver""",BAL,l
MIL197505260,05/26/1975,"""Del Crandall""",MIL,l
CIN198005262,05/26/1980,"""Tom Lasorda""",LAN,l
MIL198205260,05/26/1982,"""Buck Rodgers""",MIL,l
CAL198505260,05/26/1985,"""Gene Mauch""",CAL,w
DET198605260,05/26/1986,"""Jackie Moore""",OAK,l
TEX198605260,05/26/1986,"""Tony LaRussa""",CHA,l
BOS198905260,05/26/1989,"""Joe Morgan""",BOS,l
SEA199005260,05/26/1990,"""Cito Gaston""",TOR,w
CHN199105260,05/26/1991,"""Buck Rodgers""",MON,l
PHI199205260,05/26/1992,"""Bobby Cox""",ATL,l
TOR199205260,05/26/1992,"""Phil Garner""",MIL,l
CHN199305260,05/26/1993,"""Jim Lefebvre""",CHN,w
KCA199405260,05/26/1994,"""Hal McRae""",KCA,w
NYA199705260,05/26/1997,"""Davey Johnson""",BAL,w
HOU199805260,05/26/1998,"""Bill Russell""",LAN,l
MIL199905260,05/26/1999,"""Bobby Cox""",ATL,w
LAN200005260,05/26/2000,"""Davey Johnson""",LAN,w
KCA200005260,05/26/2000,"""Mike Scioscia""",ANA,l
ARI200305260,05/26/2003,"""Bruce Bochy""",SDN,l
MIL200405260,05/26/2004,"""Ned Yost""",MIL,w
MON200405260,05/26/2004,"""Bobby Cox""",ATL,w
ATL200705260,05/26/2007,"""Bobby Cox""",ATL,l
CLE201005260,05/26/2010,"""Ozzie Guillen""",CHA,w
KCA201305260,05/26/2013,"""Mike Scioscia""",ANA,w
MIL201705260,05/26/2017,"""Craig Counsell""",MIL,l
OAK201905260,05/26/2019,"""Scott Servais""",SEA,l
CHA202105260,05/26/2021,"""Mike Shildt""",SLN,w
CIN202205260,05/26/2022,"""David Ross""",CHN,l
CHA190105270,05/27/1901,"""John McGraw""",BLA,l
SLA192305270,05/27/1923,"""Jimmy Austin""",SLA,l
CHN194505271,05/27/1945,"""Leo Durocher""",BRO,l
PIT194505272,05/27/1945,"""Frankie Frisch""",PIT,w
PIT195205270,05/27/1952,"""Luke Sewell""",CIN,w
DET195705270,05/27/1957,"""Jack Tighe""",DET,w
CLE195805270,05/27/1958,"""Paul Richards""",BAL,l
KC1196205271,05/27/1962,"""Bill Rigney""",LAA,l
HOU196905270,05/27/1969,"""Harry Walker""",HOU,w
BAL197205270,05/27/1972,"""Earl Weaver""",BAL,w
CAL197505270,05/27/1975,"""Dick Williams""",CAL,l
NYA197605270,05/27/1976,"""Frank Robinson""",CLE,w
ATL197805270,05/27/1978,"""Danny Ozark""",PHI,w
CHN198105270,05/27/1981,"""Chuck Tanner""",PIT,w
CHN198405270,05/27/1984,"""Jim Frey""",CHN,l
TEX198605270,05/27/1986,"""Tony LaRussa""",CHA,l
MIL198905270,05/27/1989,"""Jim Lefebvre""",SEA,l
MIL199805270,05/27/1998,"""Phil Garner""",MIL,w
BAL200005270,05/27/2000,"""Mike Hargrove""",BAL,l
PIT200605270,05/27/2006,"""Phil Garner""",HOU,l
SEA200805270,05/27/2008,"""Terry Francona""",BOS,l
OAK201105270,05/27/2011,"""Bob Geren""",OAK,w
MIL201105270,05/27/2011,"""Bruce Bochy""",SFN,w
KCA201405270,05/27/2014,"""Ned Yost""",KCA,l
NYA201705270,05/27/2017,"""Bob Melvin""",OAK,l
CLE201705270,05/27/2017,"""Ned Yost""",KCA,w
CLE201805270,05/27/2018,"""A.J. Hinch""",HOU,l
NYA190805280,05/28/1908,"""Jimmy McAleer""",SLA,w
BRO191005280,05/28/1910,"""Bill Dahlen""",BRO,w
BUF191405280,05/28/1914,"""Bill Bradley""",BRF,l
BOS191405280,05/28/1914,"""Joe Birmingham""",CLE,w
NY1191505280,05/28/1915,"""John McGraw""",NY1,w
PIT191805280,05/28/1918,"""Hugo Bezdek""",PIT,l
BSN191905280,05/28/1919,"""Fred Mitchell""",CHN,l
CHN193305282,05/28/1933,"""Charlie Grimm""",CHN,w
WS1193605281,05/28/1936,"""Bucky Harris""",WS1,l
NYA195905280,05/28/1959,"""Paul Richards""",BAL,w
PIT196005280,05/28/1960,"""Gene Mauch""",PHI,l
OAK197205280,05/28/1972,"""Chuck Tanner""",CHA,l
CIN197505280,05/28/1975,"""Gene Mauch""",MON,l
MIN198705280,05/28/1987,"""Tom Trebelhorn""",MIL,l
SFN198905280,05/28/1989,"""Nick Leyva""",PHI,l
SEA199005280,05/28/1990,"""Tom Trebelhorn""",MIL,l
MIN199005280,05/28/1990,"""Frank Robinson""",BAL,l
PIT199005280,05/28/1990,"""Jim Leyland""",PIT,w
CHN199005280,05/28/1990,"""Don Zimmer""",CHN,w
PIT199505280,05/28/1995,"""Jim Leyland""",PIT,l
SLN200105280,05/28/2001,"""Tony LaRussa""",SLN,w
TBA200205280,05/28/2002,"""Lou Piniella""",SEA,l
TEX200205280,05/28/2002,"""Jerry Narron""",TEX,l
CHN200305280,05/28/2003,"""Lloyd McClendon""",PIT,l
CIN200605280,05/28/2006,"""Jerry Narron""",CIN,w
ANA200605280,05/28/2006,"""Sam Perlozzo""",BAL,w
MIN200905280,05/28/2009,"""Ron Gardenhire""",BOS,l
MIN201105280,05/28/2011,"""Ron Gardenhire""",MIN,w
BOS201205280,05/28/2012,"""Jim Leyland""",DET,l
NYN201305280,05/28/2013,"""Terry Collins""",NYN,w
NYN201605280,05/28/2016,"""Terry Collins""",NYN,l
PIT201805280,05/28/2018,"""Clint Hurdle""",PIT,l
DET201805280,05/28/2018,"""Mike Scioscia""",ANA,l
BLA190205290,05/29/1902,"""Clark Griffith""",CHA,l
NYA190605290,05/29/1906,"""Clark Griffith""",NYA,w
PHA190705292,05/29/1907,"""Bob Unglaub""",BOS,l
SLN191305290,05/29/1913,"""Miller Huggins""",SLN,l
PIT191405290,05/29/1914,"""Fred Clarke""",PIT,l
BSN192405290,05/29/1924,"""Art Fletcher""",PHI,l
BRO193205292,05/29/1932,"""Max Carey""",BRO,w
BRO193905290,05/29/1939,"""Casey Stengel""",BSN,l
PHI194405290,05/29/1944,"""Frankie Frisch""",PIT,w
BAL196505290,05/29/1965,"""Bill Rigney""",CAL,w
CHN196605290,05/29/1966,"""Leo Durocher""",CHN,w
NYA197205291,05/29/1972,"""Billy Martin""",DET,l
KCA197405290,05/29/1974,"""Jack McKeon""",KCA,l
NYN198105290,05/29/1981,"""Joey Amalfitano""",CHN,l
TOR198105290,05/29/1981,"""Billy Martin""",OAK,l
BAL198205291,05/29/1982,"""Bobby Cox""",TOR,l
CHA198405290,05/29/1984,"""Bobby Cox""",TOR,l
BOS198505290,05/29/1985,"""Billy Gardner""",MIN,l
CHA198705290,05/29/1987,"""Jim Fregosi""",BOS,l
NYA199105290,05/29/1991,"""Joe Morgan""",BOS,l
KCA199405290,05/29/1994,"""Buck Showalter""",NYA,l
PIT199605290,05/29/1996,"""Terry Collins""",HOU,w
CHN199805290,05/29/1998,"""Bobby Cox""",ATL,l
PIT199905290,05/29/1999,"""Larry Dierker""",HOU,l
CHN200005290,05/29/2000,"""Bobby Cox""",ATL,w
TBA200205290,05/29/2002,"""Hal McRae""",TBA,l
HOU200405290,05/29/2004,"""Jimy Williams""",HOU,l
HOU201105290,05/29/2011,"""Kirk Gibson""",ARI,w
LAN201105290,05/29/2011,"""Don Mattingly""",LAN,w
PHI201505290,05/29/2015,"""Ryne Sandberg""",PHI,l
SLN201505290,05/29/2015,"""Don Mattingly""",LAN,l
TEX201505290,05/29/2015,"""John Farrell""",BOS,l
CIN201905290,05/29/2019,"""David Bell""",CIN,l
HOU202105290,05/29/2021,"""Jayce Tingler""",SDN,w
CLE190505302,05/30/1905,"""Jimmy McAleer""",SLA,l
NY1191105301,05/30/1911,"""Bill Dahlen""",BRO,l
BUF191405302,05/30/1914,"""Larry Schlafly""",BUF,l
PHI191605302,05/30/1916,"""Pat Moran""",PHI,l
PIT192205302,05/30/1922,"""George Gibson""",PIT,w
PIT192905302,05/30/1929,"""Joe McCarthy""",CHN,l
PHI193705300,05/30/1937,"""Jimmie Wilson""",PHI,w
BRO194605302,05/30/1946,"""Leo Durocher""",BRO,l
PHA195405302,05/30/1954,"""Eddie Joost""",PHA,w
MLN195405300,05/30/1954,"""Eddie Stanky""",SLN,w
CHA195705301,05/30/1957,"""Kerby Farrell""",CLE,l
SLN196405300,05/30/1964,"""Johnny Keane""",SLN,w
SDN197105300,05/30/1971,"""Preston Gomez""",SDN,w
TEX197305300,05/30/1973,"""Whitey Herzog""",TEX,w
MIL197905300,05/30/1979,"""George Bamberger""",MIL,l
BOS198105300,05/30/1981,"""Buck Rodgers""",MIL,l
SLN198205300,05/30/1982,"""Dick Williams""",SDN,l
SFN198505300,05/30/1985,"""Davey Johnson""",NYN,w
SEA198605300,05/30/1986,"""Sparky Anderson""",DET,l
CLE198705300,05/30/1987,"""Tom Trebelhorn""",MIL,w
OAK198805300,05/30/1988,"""Billy Martin""",NYA,l
ATL199705300,05/30/1997,"""Bobby Cox""",ATL,w
PIT200205300,05/30/2002,"""Lloyd McClendon""",PIT,l
CLE200305300,05/30/2003,"""Jerry Manuel""",CHA,l
PIT200405300,05/30/2004,"""Lloyd McClendon""",PIT,l
HOU200705300,05/30/2007,"""Jerry Narron""",CIN,w
KCA200705300,05/30/2007,"""Buddy Bell""",KCA,l
DET201105300,05/30/2011,"""Ron Gardenhire""",MIN,l
TBA201205300,05/30/2012,"""Robin Ventura""",CHA,w
CLE201405300,05/30/2014,"""Walt Weiss""",COL,l
BOS201405300,05/30/2014,"""John Farrell""",BOS,w
CLE201605300,05/30/2016,"""Terry Francona""",CLE,l
ARI202205300,05/30/2022,"""Torey Lovullo""",ARI,w
SEA202305300,05/30/2023,"""Scott Servais""",SEA,l
CIN190905312,05/31/1909,"""Clark Griffith""",CIN,l
PIT191205310,05/31/1912,"""Fred Clarke""",PIT,w
CHA191905310,05/31/1919,"""Tris Speaker""",CLE,l
PIT192105310,05/31/1921,"""Johnny Evers""",CHN,w
PIT192905310,05/31/1929,"""Donie Bush""",PIT,l
DET193105310,05/31/1931,"""Roger Peckinpaugh""",CLE,w
SLN193605310,05/31/1936,"""Chuck Dressen""",CIN,l
SLA194205311,05/31/1942,"""Lou Boudreau""",CLE,l
BRO194205311,05/31/1942,"""Casey Stengel""",BSN,l
NYA195405311,05/31/1954,"""Casey Stengel""",NYA,l
BOS195805310,05/31/1958,"""Casey Stengel""",NYA,w
NYN196405312,05/31/1964,"""Al Dark""",SFN,w
BOS196505312,05/31/1965,"""Bill Rigney""",CAL,l
HOU196705310,05/31/1967,"""Grady Hatton""",HOU,w
LAN196805310,05/31/1968,"""Herman Franks""",SFN,l
OAK197005310,05/31/1970,"""Al Dark""",CLE,w
PIT197105310,05/31/1971,"""Leo Durocher""",CHN,l
KCA197305310,05/31/1973,"""Earl Weaver""",BAL,l
SLN197305310,05/31/1973,"""Sparky Anderson""",CIN,w
CIN197705310,05/31/1977,"""Dave Bristol""",ATL,l
LAN197905310,05/31/1979,"""Joe Altobelli""",SFN,l
LAN198505310,05/31/1985,"""Buck Rodgers""",MON,l
PHI198805310,05/31/1988,"""Lee Elia""",PHI,l
LAN198905310,05/31/1989,"""Buck Rodgers""",MON,l
KCA199005310,05/31/1990,"""John Wathan""",KCA,l
LAN199105310,05/31/1991,"""Lou Piniella""",CIN,l
CHA199105310,05/31/1991,"""Jeff Torborg""",CHA,w
CIN199305310,05/31/1993,"""Jim Fregosi""",PHI,l
SEA199505310,05/31/1995,"""Buck Showalter""",NYA,l
NYN199705310,05/31/1997,"""Terry Francona""",PHI,l
BOS199905310,05/31/1999,"""Larry Parrish""",DET,l
BOS200005310,05/31/2000,"""Jimy Williams""",BOS,l
MIN200505310,05/31/2005,"""Ron Gardenhire""",MIN,l
PIT200705310,05/31/2007,"""Buddy Black""",SDN,w
CIN200805310,05/31/2008,"""Bobby Cox""",ATL,l
SEA200805310,05/31/2008,"""Jim Leyland""",DET,l
ATL201005310,05/31/2010,"""Charlie Manuel""",PHI,l
NYA201305310,05/31/2013,"""Joe Girardi""",NYA,w
TEX201505310,05/31/2015,"""Jeff Banister""",TEX,w
ANA201705310,05/31/2017,"""Brian Snitker""",ATL,l
SLN202205310,05/31/2022,"""Bob Melvin""",SDN,l
PHI191006010,06/01/1910,"""Red Dooin""",PHI,l
PIT192806010,06/01/1928,"""Joe McCarthy""",CHN,l
BAL195606010,06/01/1956,"""Paul Richards""",BAL,w
BOS195606010,06/01/1956,"""Lou Boudreau""",KC1,l
CIN195606010,06/01/1956,"""Bill Rigney""",NY1,w
BAL196206010,06/01/1962,"""Al Lopez""",CHA,w
SFN196706010,06/01/1967,"""Harry Walker""",PIT,l
NYN197406010,06/01/1974,"""Yogi Berra""",NYN,w
MIN197406010,06/01/1974,"""Frank Quilici""",MIN,l
DET197506012,06/01/1975,"""Chuck Tanner""",CHA,w
TEX197506010,06/01/1975,"""Billy Martin""",TEX,l
NYN198806010,06/01/1988,"""Tom Lasorda""",LAN,w
CHA199106010,06/01/1991,"""Tony LaRussa""",OAK,w
TEX199106010,06/01/1991,"""Jim Lefebvre""",SEA,w
SDN199406010,06/01/1994,"""Jim Leyland""",PIT,l
MIL199406010,06/01/1994,"""Phil Garner""",MIL,w
PIT199606010,06/01/1996,"""Jim Leyland""",PIT,l
KCA199806010,06/01/1998,"""Tony Muser""",KCA,l
TBA199806010,06/01/1998,"""Larry Rothschild""",TBA,w
ATL199906010,06/01/1999,"""Jim Leyland""",COL,l
FLO200206010,06/01/2002,"""Bobby Valentine""",NYN,l
LAN200406010,06/01/2004,"""Jim Tracy""",LAN,l
PHI200506010,06/01/2005,"""Felipe Alou""",SFN,l
PHI200706010,06/01/2007,"""Charlie Manuel""",PHI,l
BOS200706010,06/01/2007,"""Joe Torre""",NYA,w
TOR201006010,06/01/2010,"""Joe Maddon""",TBA,w
ATL201306010,06/01/2013,"""Fredi Gonzalez""",ATL,w
CHN201306010,06/01/2013,"""Dale Sveum""",CHN,l
COL201306010,06/01/2013,"""Don Mattingly""",LAN,l
SDN201506010,06/01/2015,"""Buddy Black""",SDN,l
NYN201706010,06/01/2017,"""Terry Collins""",NYN,l
KCA202106010,06/01/2021,"""Derek Shelton""",PIT,l
OAK202206010,06/01/2022,"""Mark Kotsay""",OAK,l
TEX202206010,06/01/2022,"""Kevin Cash""",TEX,l
HOU202306010,06/01/2023,"""Phil Nevin""",ANA,l
MLA190106020,06/02/1901,"""Jimmy Collins""",BOS,w
NY1190406020,06/02/1904,"""John McGraw""",NY1,w
NY1191606020,06/02/1916,"""John McGraw""",NY1,l
CHN191706020,06/02/1917,"""Fred Mitchell""",CHN,w
SLA191806020,06/02/1918,"""Fielder Jones""",SLA,w
NY1191906022,06/02/1919,"""Jack Coombs""",PHI,l
WS1193306020,06/02/1933,"""Marty McManus""",BOS,l
PHA193406020,06/02/1934,"""Joe McCarthy""",NYA,w
BRO193706020,06/02/1937,"""Burleigh Grimes""",BRO,w
BOS194306021,06/02/1943,"""Luke Sewell""",SLA,w
BRO194406020,06/02/1944,"""Leo Durocher""",BRO,l
CHA195306020,06/02/1953,"""Paul Richards""",CHA,l
PIT195306020,06/02/1953,"""Phil Cavarretta""",CHN,l
MIN196306020,06/02/1963,"""Bob Scheffing""",DET,w
PIT196406020,06/02/1964,"""Danny Murtaugh""",PIT,w
CHA196806022,06/02/1968,"""Cal Ermer""",MIN,l
DET196806021,06/02/1968,"""Mayo Smith""",DET,l
TEX197706020,06/02/1977,"""Don Zimmer""",BOS,l
LAN198106020,06/02/1981,"""Bobby Cox""",ATL,w
NYA198506020,06/02/1985,"""Chuck Cottier""",SEA,w
CIN198706020,06/02/1987,"""Pete Rose""",CIN,w
ATL199206020,06/02/1992,"""Jim Fregosi""",PHI,l
KCA199806020,06/02/1998,"""Terry Collins""",ANA,l
OAK199906020,06/02/1999,"""Larry Rothschild""",TBA,w
SEA200106020,06/02/2001,"""Hal McRae""",TBA,l
BAL200206020,06/02/2002,"""Mike Hargrove""",BAL,l
CLE200206020,06/02/2002,"""Jerry Manuel""",CHA,l
CLE200706020,06/02/2007,"""Jim Leyland""",DET,w
CHN200706020,06/02/2007,"""Lou Piniella""",CHN,l
BAL200806020,06/02/2008,"""Dave Trembley""",BAL,w
DET201206020,06/02/2012,"""Joe Girardi""",NYA,l
CLE201306020,06/02/2013,"""Terry Francona""",CLE,l
SLN201306020,06/02/2013,"""Mike Matheny""",SLN,l
SLN201506020,06/02/2015,"""Mike Matheny""",SLN,w
SEA201506020,06/02/2015,"""Lloyd McClendon""",SEA,l
OAK201906020,06/02/2019,"""Bob Melvin""",OAK,l
NYA190506030,06/03/1905,"""Jimmy Collins""",BOS,w
PIT190806030,06/03/1908,"""John McCloskey""",SLN,w
CLE191206030,06/03/1912,"""Jake Stahl""",BOS,l
CHA191206030,06/03/1912,"""Nixey Callahan""",CHA,l
BSN191206030,06/03/1912,"""Johnny Kling""",BSN,l
SLN192306030,06/03/1923,"""Bill McKechnie""",PIT,l
PIT194506031,06/03/1945,"""Frankie Frisch""",PIT,w
BRO195106032,06/03/1951,"""Frankie Frisch""",CHN,l
SLA195106032,06/03/1951,"""Zack Taylor""",SLA,w
PHI195306032,06/03/1953,"""Eddie Stanky""",SLN,l
MON196906030,06/03/1969,"""Gene Mauch""",MON,l
MIL197006030,06/03/1970,"""Dave Bristol""",MIL,l
HOU197006030,06/03/1970,"""Gene Mauch""",MON,l
SLN197306030,06/03/1973,"""Leo Durocher""",HOU,l
MIN197406030,06/03/1974,"""Darrell Johnson""",BOS,l
CHA197706030,06/03/1977,"""Billy Martin""",NYA,l
CHN197806030,06/03/1978,"""Bobby Cox""",ATL,l
TOR197806030,06/03/1978,"""Billy Hunter""",TEX,l
TOR198206030,06/03/1982,"""Gene Michael""",NYA,l
BOS198606030,06/03/1986,"""Pat Corrales""",CLE,l
CAL199206030,06/03/1992,"""John Wathan""",CAL,w
DET199306030,06/03/1993,"""Sparky Anderson""",DET,w
BOS199506030,06/03/1995,"""Lou Piniella""",SEA,l
CHN199706030,06/03/1997,"""Gene Lamont""",PIT,w
BOS199806030,06/03/1998,"""Jimy Williams""",BOS,l
CHA200106030,06/03/2001,"""Phil Garner""",DET,l
TEX200106030,06/03/2001,"""Jerry Narron""",TEX,l
PIT200406030,06/03/2004,"""Lloyd McClendon""",PIT,l
ATL200606031,06/03/2006,"""Bobby Cox""",ATL,l
PIT200706030,06/03/2007,"""Grady Little""",LAN,w
TOR200706030,06/03/2007,"""Ozzie Guillen""",CHA,l
KCA201006030,06/03/2010,"""Ned Yost""",KCA,l
SDN201106030,06/03/2011,"""Buddy Black""",SDN,w
ATL201306030,06/03/2013,"""Clint Hurdle""",PIT,l
MIA201506030,06/03/2015,"""Dan Jennings""",MIA,w
DET201706030,06/03/2017,"""Brad Ausmus""",DET,w
HOU202106030,06/03/2021,"""Alex Cora""",BOS,w
NYA202106030,06/03/2021,"""Aaron Boone""",NYA,l
NYN202306030,06/03/2023,"""John Schneider""",TOR,w
NYA190706040,06/04/1907,"""Clark Griffith""",NYA,l
PHA191306040,06/04/1913,"""Hughie Jennings""",DET,l
NYA191706040,06/04/1917,"""Bill Donovan""",NYA,w
BRO191806040,06/04/1918,"""Wilbert Robinson""",BRO,l
CIN193606040,06/04/1936,"""Jimmie Wilson""",PHI,l
