GAMEID,Date,manager_name,team,win_loss
PHI200804130,04/13/2008,"""Charlie Manuel""",PHI,l
CHN200904130,04/13/2009,"""Clint Hurdle""",COL,l
SDN201104130,04/13/2011,"""Buddy Black""",SDN,w
OAK201304130,04/13/2013,"""Bob Melvin""",OAK,l
NYA201404130,04/13/2014,"""John Farrell""",BOS,l
ATL201904130,04/13/2019,"""Mickey Callaway""",NYN,l
KCF191504140,04/14/1915,"""Fielder Jones""",SLF,l
PHI192704140,04/14/1927,"""Stuffy McInnis""",PHI,w
SLN194204140,04/14/1942,"""Jimmie Wilson""",CHN,w
PHI196704140,04/14/1967,"""Wes Westrum""",NYN,l
PHI197104140,04/14/1971,"""Frank Lucchesi""",PHI,w
KCA197604140,04/14/1976,"""Whitey Herzog""",KCA,l
TEX197604140,04/14/1976,"""Frank Lucchesi""",TEX,w
OAK198004140,04/14/1980,"""Billy Martin""",OAK,l
BOS198004140,04/14/1980,"""Don Zimmer""",BOS,w
CLE198504140,04/14/1985,"""Pat Corrales""",CLE,l
BOS199104140,04/14/1991,"""Joe Morgan""",BOS,l
MIL200104140,04/14/2001,"""Davey Lopes""",MIL,w
CLE200304140,04/14/2003,"""Eric Wedge""",CLE,l
COL200404140,04/14/2004,"""Bob Brenly""",ARI,l
BOS200504140,04/14/2005,"""Terry Francona""",BOS,w
MIN200504140,04/14/2005,"""Ron Gardenhire""",MIN,w
ATL200604140,04/14/2006,"""Bobby Cox""",ATL,w
TEX200804140,04/14/2008,"""Mike Scioscia""",ANA,w
KCA201204140,04/14/2012,"""Manny Acta""",CLE,w
TEX201404140,04/14/2014,"""Ron Washington""",TEX,l
NYN201504140,04/14/2015,"""Terry Collins""",NYN,w
PIT201504140,04/14/2015,"""Clint Hurdle""",PIT,l
SFN201704140,04/14/2017,"""Buddy Black""",COL,l
LAN202104140,04/14/2021,"""Buddy Black""",COL,l
KCA202304140,04/14/2023,"""Brian Snitker""",ATL,w
CHN190904150,04/15/1909,"""Roger Bresnahan""",SLN,l
SLA191504150,04/15/1915,"""Pants Rowland""",CHA,w
WS1192204150,04/15/1922,"""Miller Huggins""",NYA,w
PHI192704150,04/15/1927,"""Stuffy McInnis""",PHI,l
SLA194704150,04/15/1947,"""Steve O'Neill""",DET,w
LAN195904150,04/15/1959,"""Solly Hemus""",SLN,l
MIL197304152,04/15/1973,"""Earl Weaver""",BAL,w
KCA197704150,04/15/1977,"""Whitey Herzog""",KCA,l
LAN198304150,04/15/1983,"""Dick Williams""",SDN,l
NYA198304150,04/15/1983,"""Billy Martin""",NYA,l
SEA198804150,04/15/1988,"""Dick Williams""",SEA,l
CAL199404150,04/15/1994,"""Cito Gaston""",TOR,l
NYA199704150,04/15/1997,"""Joe Torre""",NYA,l
BAL200104150,04/15/2001,"""Mike Hargrove""",BAL,l
NYN200404150,04/15/2004,"""Bobby Cox""",ATL,l
KCA200504150,04/15/2005,"""Tony Pena""",KCA,w
LAN201204150,04/15/2012,"""Buddy Black""",SDN,l
NYN201804150,04/15/2018,"""Craig Counsell""",MIL,l
MIN201904150,04/15/2019,"""Rocco Baldelli""",MIN,l
BOS201904150,04/15/2019,"""Brandon Hyde""",BAL,w
MIN202104150,04/15/2021,"""Alex Cora""",BOS,l
BAL202204150,04/15/2022,"""Aaron Boone""",NYA,l
HOU202304150,04/15/2023,"""Bruce Bochy""",TEX,l
NYA202304150,04/15/2023,"""Rocco Baldelli""",MIN,l
SLN202304150,04/15/2023,"""Oliver Marmol""",SLN,l
NYA190804160,04/16/1908,"""Clark Griffith""",NYA,w
CIN191004160,04/16/1910,"""Clark Griffith""",CIN,l
BRO191204160,04/16/1912,"""Bill Dahlen""",BRO,l
SFN196304160,04/16/1963,"""Harry Craft""",HOU,l
